symbol,horizon,uncond_mean_bps,uncond_std_bps,settle_mean_bps,settle_n,hi_extreme_mean_bps,hi_extreme_n,lo_extreme_mean_bps,lo_extreme_n,pnl_hi_short_bps,pnl_lo_long_bps
BTCUSDT,15m,0.10579346759950146,25.224654154317694,0.1643758887587248,3924,0.06387961877218497,923,-0.29677364764435,469,-0.06387961877218497,-0.29677364764435
BTCUSDT,1h,0.4261913910906622,49.54561944966539,0.4017076816180309,3924,0.4405510929416561,923,1.1412158192786643,469,-0.4405510929416561,1.1412158192786643
BTCUSDT,4h,1.7029503301150488,97.95537795969655,1.781006701149373,3924,2.538179931620331,923,7.927780987432461,469,-2.538179931620331,7.927780987432461
ETHUSDT,15m,0.032954681752958015,33.20665407826874,0.2557253250619542,3924,-1.2920890198603823,902,1.9143128623114585,482,1.2920890198603823,1.9143128623114585
ETHUSDT,1h,0.13380771377012943,65.87272072852865,0.8582585089263386,3924,3.791996117563709,902,4.331043147605627,482,-3.791996117563709,4.331043147605627
ETHUSDT,4h,0.558691512321735,131.63504464523908,1.2725116777063754,3924,6.871765373222987,902,4.46406783522174,482,-6.871765373222987,4.46406783522174
SOLUSDT,15m,0.15926851783415477,48.27031042402216,0.07682425431794696,3924,0.8939360468230709,710,-3.733785924656251,446,-0.8939360468230709,-3.733785924656251
SOLUSDT,1h,0.6402900473410111,93.74781363371176,0.0013290511243149623,3924,7.766073857748073,710,0.3576009072565572,446,-7.766073857748073,0.3576009072565572
SOLUSDT,4h,2.5055488517167,183.24386614962407,5.129923730526261,3924,17.079033306181746,710,3.804409625271458,446,-17.079033306181746,3.804409625271458
BNBUSDT,15m,0.06428275264295616,29.879863151139364,0.5499981106277462,3924,-0.5266900482417174,523,,0,0.5266900482417174,
BNBUSDT,1h,0.2591181372518384,58.138168753522855,2.0128581048206335,3924,1.1697777328670667,523,,0,-1.1697777328670667,
BNBUSDT,4h,1.1029536030230287,112.84821661589135,2.011438912920715,3924,-3.740826025368048,523,,0,3.740826025368048,
XRPUSDT,15m,0.0902182431819947,44.85075830264447,0.16484333855836755,3924,-0.2770599230894842,990,0.12634838234948828,451,0.2770599230894842,0.12634838234948828
XRPUSDT,1h,0.3680918701710904,86.51309000649778,0.005562160690545774,3924,1.944298987799124,990,-1.8621767809579801,451,-1.944298987799124,-1.8621767809579801
XRPUSDT,4h,1.3910148562697204,169.06956010498607,7.915160346320648,3924,12.966923540744695,990,-0.628241408211889,451,-12.966923540744695,-0.628241408211889
ADAUSDT,15m,-0.02795294041500997,50.29142446323215,-0.23723490442154496,3924,-1.6422578040230242,1227,-0.4647960769346779,406,1.6422578040230242,-0.4647960769346779
ADAUSDT,1h,-0.1000917638046367,96.08442391972012,-1.9780465592756789,3924,-0.25785060028258316,1227,-1.2528389713554124,406,0.25785060028258316,-1.2528389713554124
ADAUSDT,4h,-0.45790329042085315,187.18570024076848,-2.2679984069717003,3924,3.7735618414272665,1227,5.467296549100187,406,-3.7735618414272665,5.467296549100187
DOGEUSDT,15m,-0.0005814059420275708,50.930843838403135,0.008138053095061123,3924,1.150704323349284,1127,-2.48437556401191,422,-1.150704323349284,-2.48437556401191
DOGEUSDT,1h,-0.011792917291775782,97.36980240022132,1.0194892064748724,3924,7.043104635794522,1127,-0.48868184457967556,422,-7.043104635794522,-0.48868184457967556
DOGEUSDT,4h,-0.025403390984775218,187.35301870201977,2.1750961669966777,3924,11.48957149917813,1127,2.358909820391504,422,-11.48957149917813,2.358909820391504
AVAXUSDT,15m,-0.035645316353787926,51.310063956688374,-0.6876883078855274,3924,0.2660227405608069,735,-2.8747378701925554,440,-0.2660227405608069,-2.8747378701925554
