symbol,horizon,year,n,mean_pnl_bps
DOTUSDT,15m,2024,293,-3.0647976000436774
DOTUSDT,15m,2025,478,1.155284102812084
DOTUSDT,15m,2026,130,-4.058131729345927
DOTUSDT,1h,2023,324,-0.15764872336645722
DOTUSDT,1h,2024,293,-3.119294918162782
DOTUSDT,1h,2025,478,1.3138114565970946
DOTUSDT,1h,2026,130,-7.230664581916059
DOTUSDT,4h,2023,324,-3.762612094480335
DOTUSDT,4h,2024,293,-10.58822903592002
DOTUSDT,4h,2025,478,-6.274159517721493
DOTUSDT,4h,2026,130,-13.746757596990795
LTCUSDT,15m,2023,704,2.2712817222294746
LTCUSDT,15m,2024,396,0.5393128819706419
LTCUSDT,15m,2025,469,-2.332376990117848
LTCUSDT,15m,2026,147,0.6713163219539008
LTCUSDT,1h,2023,704,-2.212126221005992
LTCUSDT,1h,2024,396,-6.1398502390787835
LTCUSDT,1h,2025,469,1.115307841727513
LTCUSDT,1h,2026,147,-0.22433257247097482
LTCUSDT,4h,2023,704,0.954069760343328
LTCUSDT,4h,2024,396,-0.7254054550695919
LTCUSDT,4h,2025,469,-3.9687280241047618
LTCUSDT,4h,2026,147,-6.219702766498425
MATICUSDT,15m,2023,324,2.233530398460895
MATICUSDT,15m,2024,198,-0.11822857017951806
MATICUSDT,1h,2023,324,-4.28806486611425
MATICUSDT,1h,2024,198,-7.123392329550586
MATICUSDT,4h,2023,324,-17.45739386216273
MATICUSDT,4h,2024,197,-4.463790715996815
ARBUSDT,15m,2023,404,5.124044653363527
ARBUSDT,15m,2024,364,-2.9418814621413003
ARBUSDT,15m,2025,519,-0.6981099999135445
ARBUSDT,15m,2026,217,4.567592915808904
ARBUSDT,1h,2023,404,2.048027738728008
ARBUSDT,1h,2024,364,-8.985254123011263
ARBUSDT,1h,2025,519,4.803141444562496
ARBUSDT,1h,2026,217,3.9581450846279407
ARBUSDT,4h,2023,404,-2.425456835034162
ARBUSDT,4h,2024,364,-11.740745595316643
ARBUSDT,4h,2025,519,10.424677422397123
ARBUSDT,4h,2026,217,8.622114021125295
OPUSDT,15m,2023,501,3.4172179245973435
OPUSDT,15m,2024,363,4.531372686071242
OPUSDT,15m,2025,517,0.2328202792678667
OPUSDT,15m,2026,120,1.8034881508311267
OPUSDT,1h,2023,501,-8.649603680111701
OPUSDT,1h,2024,363,9.397705410133014
OPUSDT,1h,2025,517,7.053672733106255
OPUSDT,1h,2026,120,-6.980607871389062
OPUSDT,4h,2023,501,-16.396565530433815
OPUSDT,4h,2024,363,26.967052684113813
OPUSDT,4h,2025,517,-1.8481456903333349
OPUSDT,4h,2026,120,-10.344731526243045
APTUSDT,15m,2023,324,-2.371036553675673
APTUSDT,15m,2024,421,0.5312126755030296
APTUSDT,15m,2025,324,2.630091996365029
APTUSDT,15m,2026,123,-1.2109578029348795
APTUSDT,1h,2023,324,1.3005133359383982
APTUSDT,1h,2024,421,1.9472534378217767
APTUSDT,1h,2025,324,1.6773178944599778
APTUSDT,1h,2026,123,7.790555732552475
APTUSDT,4h,2023,324,14.911342758308173
APTUSDT,4h,2024,421,-7.3350957451299665
APTUSDT,4h,2025,324,-18.641996711934592
APTUSDT,4h,2026,123,5.548994361013906
SUIUSDT,15m,2023,157,-4.538316707574197
SUIUSDT,15m,2024,269,-3.722262942717234
SUIUSDT,15m,2025,378,-0.6657626626822513
SUIUSDT,15m,2026,149,-4.653790426576404
SUIUSDT,1h,2023,157,-4.492454822517917
SUIUSDT,1h,2024,269,-6.091744161714167
SUIUSDT,1h,2025,378,-2.0856778605093247
SUIUSDT,1h,2026,149,2.6311536858000064
SUIUSDT,4h,2023,157,3.2453838571005105
SUIUSDT,4h,2024,269,-10.948723591734467
SUIUSDT,4h,2025,378,-5.418457131350047
SUIUSDT,4h,2026,149,4.152787576910391
NEARUSDT,15m,2023,363,3.818222777205221
NEARUSDT,15m,2024,437,2.040392423152788
NEARUSDT,15m,2025,315,6.972001190215165
NEARUSDT,15m,2026,232,-7.461533180609178
NEARUSDT,1h,2023,363,7.131975613584422
NEARUSDT,1h,2024,437,-1.5171885607245905
NEARUSDT,1h,2025,315,3.8638260172707395
NEARUSDT,1h,2026,232,1.3975111255281762
NEARUSDT,4h,2023,363,19.296938549617334
NEARUSDT,4h,2024,437,-2.3894183579847836
NEARUSDT,4h,2025,315,-2.38218643178682
NEARUSDT,4h,2026,232,4.341622728641029
ATOMUSDT,15m,2023,311,-0.7371824725315761
ATOMUSDT,15m,2024,281,-6.445928059530451
ATOMUSDT,15m,2025,264,2.8683704415987044
ATOMUSDT,15m,2026,134,5.158059674170446
ATOMUSDT,1h,2023,311,-0.6432370412868775
ATOMUSDT,1h,2024,281,-12.177493236943864
ATOMUSDT,1h,2025,264,-0.7174627351055517
ATOMUSDT,1h,2026,134,-3.6907547585111082
ATOMUSDT,4h,2023,311,6.016897775632955
ATOMUSDT,4h,2024,281,-17.16763399666015
ATOMUSDT,4h,2025,264,-3.863374493840814
ATOMUSDT,4h,2026,134,4.683693953934216
TRXUSDT,15m,2023,215,-1.9105971204219718
TRXUSDT,15m,2024,260,1.533219249815848
TRXUSDT,15m,2025,290,-0.6366526781449138
TRXUSDT,15m,2026,148,-0.2884742303475439
TRXUSDT,1h,2023,215,0.21171967636823313
TRXUSDT,1h,2024,260,4.1139352589990485
TRXUSDT,1h,2025,290,-2.9663846772922433
TRXUSDT,1h,2026,148,0.026316929278134126
TRXUSDT,4h,2023,215,-4.214556162994126
TRXUSDT,4h,2024,260,7.451399574847785
TRXUSDT,4h,2025,290,-4.093008204440994
TRXUSDT,4h,2026,148,4.446043580393535
FILUSDT,15m,2023,557,-0.16068508010293658
FILUSDT,15m,2024,435,2.4092167201415653
FILUSDT,15m,2025,592,-1.245329125459138
FILUSDT,15m,2026,106,-3.9052123987416043
FILUSDT,1h,2023,557,1.6487576777618425
FILUSDT,1h,2024,435,-0.005040232987337175
FILUSDT,1h,2025,592,-2.160154419254995
FILUSDT,1h,2026,106,-9.831885060558966
FILUSDT,4h,2023,557,8.968960467196128
FILUSDT,4h,2024,435,6.653397066630058
FILUSDT,4h,2025,592,-15.778969293034152
FILUSDT,4h,2026,106,-1.1562946971519712
INJUSDT,15m,2023,276,-1.4539354856306663
INJUSDT,15m,2024,380,0.9109657819209174
INJUSDT,15m,2025,306,-2.548320724611584
INJUSDT,15m,2026,119,0.5880475703646066
INJUSDT,1h,2023,276,-10.604211012904155
INJUSDT,1h,2024,380,7.804980092014521
INJUSDT,1h,2025,306,-2.799170404055916
INJUSDT,1h,2026,119,-6.913517471854915
INJUSDT,4h,2023,276,-31.41107187520302
INJUSDT,4h,2024,380,16.107696445308743
INJUSDT,4h,2025,306,12.172329716642077
INJUSDT,4h,2026,119,-7.396283805375055
TIAUSDT,15m,2023,30,15.398663546672372
TIAUSDT,15m,2024,448,-3.5394230792423564
TIAUSDT,15m,2025,477,-6.703528144862899
TIAUSDT,15m,2026,344,1.5700203638664088
TIAUSDT,1h,2023,30,21.487986154393106
TIAUSDT,1h,2024,448,-8.456139599845061
TIAUSDT,1h,2025,477,-7.5588682833054435
TIAUSDT,1h,2026,344,-6.793980264477403
TIAUSDT,4h,2023,30,96.23662548696765
TIAUSDT,4h,2024,448,-12.944487793493977
TIAUSDT,4h,2025,477,-2.2494525794662485
TIAUSDT,4h,2026,343,10.779908733482998
SEIUSDT,15m,2023,66,6.068575751962671
SEIUSDT,15m,2024,249,-2.9595009702929267
SEIUSDT,15m,2025,250,1.7302124790613282
SEIUSDT,15m,2026,122,-1.704607189305906
SEIUSDT,1h,2023,66,-31.174675131807955
SEIUSDT,1h,2024,249,3.9372836547819223
SEIUSDT,1h,2025,250,9.51496179023794
SEIUSDT,1h,2026,122,-3.795253440670625
SEIUSDT,4h,2023,66,-51.92156296215009
SEIUSDT,4h,2024,249,-4.3189080510668525
SEIUSDT,4h,2025,250,9.780896445742515
SEIUSDT,4h,2026,122,-9.44100032564783
WLDUSDT,15m,2023,106,-0.8310143147267087
WLDUSDT,15m,2024,247,-10.07254515729806
WLDUSDT,15m,2025,517,4.454557764232369
WLDUSDT,15m,2026,150,14.015712064434334
WLDUSDT,1h,2023,106,-18.180293304909984
WLDUSDT,1h,2024,247,2.225491567328974
WLDUSDT,1h,2025,517,7.749270807306301
WLDUSDT,1h,2026,150,5.114769209994237
WLDUSDT,4h,2023,106,-25.56720552839474
WLDUSDT,4h,2024,247,-2.068964649673694
WLDUSDT,4h,2025,517,0.1818135679224902
WLDUSDT,4h,2026,150,24.0990943523839
RUNEUSDT,15m,2023,519,1.546216585708952
RUNEUSDT,15m,2024,496,0.8311345811791303
RUNEUSDT,15m,2025,556,1.4858760980476646
RUNEUSDT,15m,2026,196,3.6843567021240906
RUNEUSDT,1h,2023,519,-1.4960185947752862
RUNEUSDT,1h,2024,496,-1.14028952158776
RUNEUSDT,1h,2025,556,4.968166198950842
RUNEUSDT,1h,2026,196,-2.796195026415406
RUNEUSDT,4h,2023,519,-0.7692444039723425
RUNEUSDT,4h,2024,496,-6.180846734815263
RUNEUSDT,4h,2025,556,6.90901170697798
RUNEUSDT,4h,2026,196,-6.101849458763718
UNIUSDT,15m,2023,828,1.4665069995986024
UNIUSDT,15m,2024,422,-2.5468192799851703
UNIUSDT,15m,2025,562,-2.9289889388118704
UNIUSDT,15m,2026,219,6.609208862869479
UNIUSDT,1h,2023,828,0.5281568789559415
UNIUSDT,1h,2024,422,0.778447145508965
UNIUSDT,1h,2025,562,2.685673908765574
UNIUSDT,1h,2026,219,-2.1668107355510786
UNIUSDT,4h,2023,828,2.992314052151024
UNIUSDT,4h,2024,422,6.011667656771428
UNIUSDT,4h,2025,562,-0.07341714355699122
UNIUSDT,4h,2026,219,-5.123066328599475
ETCUSDT,15m,2023,589,-0.8825408539482499
ETCUSDT,15m,2024,399,-0.1729284575057748
ETCUSDT,15m,2025,525,0.5493399484492081
ETCUSDT,15m,2026,184,-3.4386514702634274
ETCUSDT,1h,2023,589,3.392787991226352
ETCUSDT,1h,2024,399,-4.976675716239921
ETCUSDT,1h,2025,525,-2.6218164733292815
ETCUSDT,1h,2026,184,-6.448988906457433
ETCUSDT,4h,2023,589,9.81028141041876
ETCUSDT,4h,2024,399,-7.400145819326413
ETCUSDT,4h,2025,525,-3.853826538377269
ETCUSDT,4h,2026,184,-10.587287748051526
