event_id,asset,binance_symbol,mexc_symbol,mexc_market,causal_class,status,reason,announcement_cut,n_hours_used,n_post_announcement_dropped,n_before_window_dropped,multiplier,integrity_violations,volume_floor,volume_cv,volume_range_coupling,log10_volume_per_range,zero_range_share,volume_floor_rank,volume_cv_rank,volume_range_coupling_rank,log10_volume_per_range_rank,n_features_ranked,volume_anomaly_rank,wash_volume_suspect,programme_like,anticipation_ratio,anticipation_base_hours,second_venue,second_venue_market,n_common_hours,log10_venue_volume_multiple,coupling_gap
46bb94c3367a45d68af8fa6c,TAIKO,TAIKOUSDT,TAIKOUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,69,2,0,1.0000,0,0.0000,0.7179,0.5325,5.7020,0.1159,0.0159,0.7381,0.6429,0.4365,4,0.4583,False,False,9.9155,45,kucoin,spot,61,0.0042,-0.3609
8bd8e43b5c14441cddf6f1c6,MYX,MYXUSDT,MYX_USDT,perp,UNKNOWN_EXECUTION_COST,MEASURED,,True,68,3,0,10.0000,0,0.7482,0.7834,0.4417,5.4881,0.0000,0.8651,0.6270,0.8175,0.3095,4,0.6548,False,False,2.6429,44,,,0,,
f7b0c338e560be7ce661550d,NEWT,NEWTUSDT,NEWT_USDT,perp,UNKNOWN_EXECUTION_COST,NO_TAPE,no hourly tape stored,True,0,0,0,,0,,,,,,,,,,0,,,,,0,,,0,,
328be11039a0daaa62c9402d,OL,OLUSDT,OL_USDT,perp,UNKNOWN_EXECUTION_COST,MEASURED,,True,69,2,0,10.0000,0,0.5159,0.9307,0.4931,5.9757,0.0000,0.6746,0.5159,0.7540,0.6190,4,0.6409,False,False,2.1418,45,okx,spot,69,-0.3654,-0.1216
082d13846fce53f88460dd42,BULLA,BULLAUSDT,BULLAUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,70,2,0,1.0000,0,0.7259,0.5342,0.6884,5.4480,0.0000,0.8016,0.8492,0.3571,0.2143,4,0.5556,False,False,1.1328,46,,,0,,
e1946a92d433af36002d432b,CROSS,CROSSUSDT,CROSS_USDT,perp,UNKNOWN_EXECUTION_COST,MEASURED,,True,68,3,0,10.0000,0,0.4713,1.3815,0.8093,5.5271,0.0000,0.5159,0.2619,0.1349,0.3254,4,0.3095,False,False,7.2233,44,kucoin,spot,68,-0.3796,0.1555
9fd6bbd5031f385d60646936,VELVET,VELVETUSDT,VELVET_USDT,perp,UNKNOWN_EXECUTION_COST,MEASURED,,True,68,3,0,10.0000,0,0.6904,1.9073,0.8326,5.4557,0.0000,0.7857,0.1349,0.0714,0.2460,4,0.3095,False,False,5.4504,44,kucoin,spot,68,0.2299,0.1824
d6e5c362b920f0f1eeebe797,ZORA,ZORAUSDT,ZORA_USDT,perp,UNKNOWN_EXECUTION_COST,MEASURED,,True,70,2,0,10.0000,0,0.2155,0.9956,0.6774,6.8777,0.0000,0.1032,0.4048,0.3889,0.8968,4,0.4484,False,False,0.4083,46,kucoin,spot,70,0.5844,-0.1720
d434dc6ba47a473e1c50859d,AIO,AIOUSDT,AIOUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,69,2,0,1.0000,0,0.1439,0.9135,0.7473,4.4263,0.0145,0.0556,0.5317,0.2302,0.0238,4,0.2103,False,False,0.4823,45,kucoin,spot,68,-1.5969,0.5282
eb9dec0bc5cac2d2255f22ad,USELESS,USELESSUSDT,USELESSUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,69,2,0,1.0000,0,0.4258,1.3610,0.6545,6.0725,0.0000,0.3889,0.2937,0.4365,0.6746,4,0.4484,False,False,2.3312,45,kucoin,spot,69,-0.2867,0.0475
ad7fac75381979219a635a4c,XPL,XPLUSDT,XPL_USDT,perp,UNKNOWN_EXECUTION_COST,NO_TAPE,no hourly tape stored,True,0,0,0,,0,,,,,,,,,,0,,,,,0,,,0,,
35baa8d370bba89af695913f,BAS,BASUSDT,BASUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,70,1,0,1.0000,0,0.5525,0.6156,0.7628,5.0344,0.0000,0.7063,0.8016,0.2143,0.0556,4,0.4444,False,False,1.1732,46,kucoin,spot,70,-1.4192,0.7088
0e15ffddde62fa7a295cbb6d,ARIA,ARIAUSDT,ARIA_USDT,perp,UNKNOWN_EXECUTION_COST,MEASURED,,True,70,2,0,10.0000,0,0.7490,0.9660,0.7752,5.5975,0.0000,0.8810,0.4365,0.1825,0.3730,4,0.4683,False,False,0.6923,46,kucoin,spot,70,-1.1415,0.2848
4a229f7de4c92b2cf15eae11,FLOCK,FLOCKUSDT,FLOCK_USDT,perp,UNKNOWN_EXECUTION_COST,MEASURED,,True,70,1,0,1.0000,0,0.5829,4.2292,0.5761,5.6907,0.0000,0.7540,0.0397,0.5794,0.4206,4,0.4484,False,False,33.9908,46,kucoin,spot,70,0.0761,-0.3410
1e02599c7e7dff4bc7bae2db,XPIN,XPINUSDT,XPINUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,70,2,0,1.0000,0,0.1802,0.9349,0.3318,5.6196,0.0000,0.0714,0.4841,0.9444,0.3889,4,0.4722,False,False,0.1598,46,kucoin,spot,70,-0.4755,0.0704
7e52b13d33a0a106da32a993,TOSHI,TOSHIUSDT,TOSHIUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,69,2,0,1.0000,0,0.5264,2.5384,0.5928,5.6337,0.0000,0.6905,0.1032,0.5317,0.4048,4,0.4325,False,False,5.5969,45,kucoin,spot,69,0.1229,-0.0361
354d589ae37b402ecc4e73f7,ASTER,ASTERUSDT,ASTER_USDT,perp,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 7 < 36,True,7,2,0,,0,,,,,,,,,,0,,,,,0,,,0,,
c0f0baa61eef4a5603702a44,FLUID,FLUIDUSDT,FLUIDUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,70,1,0,1.0000,0,0.0000,4.9723,0.8069,4.2343,0.2143,0.0159,0.0079,0.1508,0.0079,4,0.0456,False,False,17.2664,46,okx,spot,55,-0.8549,-0.1919
ccb44efc1570ecea59ac4e78,AKE,AKEUSDT,AKE_USDT,perp,UNKNOWN_EXECUTION_COST,MEASURED,,True,68,3,0,1000.0000,0,0.8915,0.2930,0.6777,5.1584,0.0000,0.9286,0.9444,0.3730,0.1032,4,0.5873,False,True,1.2723,44,kucoin,spot,68,-0.0779,0.1928
c08091058dd948d22d55c054,GIGGLE,GIGGLEUSDT,GIGGLEUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,70,1,0,1.0000,0,0.4881,0.7759,0.6491,6.1872,0.0000,0.5476,0.6587,0.4524,0.7381,4,0.5992,False,False,1.5745,46,,,0,,
cd6794154b527f204b81a81c,LAB,LABUSDT,LABUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,48,2,21,1.0000,0,0.2964,0.9341,0.8262,5.9216,0.0000,0.1508,0.5000,0.0873,0.5476,4,0.3214,False,False,1.8343,24,kucoin,spot,48,-0.1852,0.1227
