year,count,mean_bps,excess_bps
2020,161,268.63,183.89
2021,625,455.56,267.86
2022,591,-237.61,-142.93
2023,905,114.39,37.59
2024,974,66.73,4.9
2025,1212,130.54,179.41
2026,880,112.7,151.4
