family,horizon_h,n_cells,median_rate_L1_wk,median_n_L1,median_days,best_gross_bps,median_sd_daymean,net_bps_min_1y,net_bps_min_2y,median_capacity_usd,gross_bps_needed_1y,gross_shortfall_1y
A_resid_move,1,8,121.68333333333332,45700.0,2271.0,7.845804939222997,57.49846914414976,16.8633433553334,11.924184440033352,1282995.8250000002,30.8633433553334,-23.0175384161104
A_resid_move,4,8,121.60555555555555,45694.0,2271.0,12.533137917305838,96.84404021442057,28.402744044528227,20.083772918191737,5132290.9,42.40274404452823,-29.86960612722239
A_resid_move,12,8,121.37222222222222,45667.0,2271.0,11.42466722582683,153.97744027495324,45.15901871791084,31.932248367164984,15392841.600000001,59.15901871791084,-47.73435149208401
B_flow,1,4,47.89693973634651,8510.0,1369.5,3.7624134538242613,68.35929656924863,20.048643150590614,14.176531525371853,333336.528125,34.048643150590614,-30.286229696766352
B_flow,4,4,47.877495291902065,8509.0,1369.5,8.703890023971999,147.71929677232902,43.32360945880296,30.634418033797232,1333366.725,57.32360945880296,-48.61971943483096
B_flow,12,4,47.83860640301318,8504.5,1369.5,12.293036083427852,238.40684219031255,69.9207561167753,49.44144079586258,3999765.8625000007,83.9207561167753,-71.62772003334744
C_oi,1,4,101.2861111111111,40293.5,1704.0,2.1313899114997934,55.71608722349117,16.34060042381202,11.554549368337252,934762.1500000001,30.34060042381202,-28.209210512312225
C_oi,4,4,101.2472222222222,40289.0,1704.0,2.1444150937576247,106.67640758803157,31.2864136358229,22.12283524089764,3739168.2,45.286413635822896,-43.141998542065274
C_oi,12,4,101.05277777777778,40275.5,1704.0,6.925724095411836,183.50246372824614,53.818216353571856,38.05522573497541,11215179.600000001,67.81821635357186,-60.89249225816002
D_volshock,1,4,51.58611111111111,19075.0,2029.5,18.864260883678906,154.8794346877384,45.4235586563439,32.11930635152567,2684212.2,59.4235586563439,-40.55929777266499
D_volshock,4,4,51.56666666666666,19074.5,2029.5,37.88605534315188,248.88263417662938,72.99313143065416,51.61393821465647,10736804.200000001,86.99313143065416,-49.10707608750228
D_volshock,12,4,51.41111111111111,19060.0,2029.5,58.308693108920075,402.84126560502034,118.1466338271321,83.54228595352906,32211994.8,132.14663382713212,-73.83794071821205
E_basis,1,2,102.93888888888888,52156.5,2259.5,8.480218944990387,55.717944990343724,16.34114527588852,11.554934636935286,460097.5,30.34114527588852,-21.86092633089813
E_basis,4,2,102.86111111111111,52153.0,2259.5,6.57425886411653,96.53091931141185,28.310910898746023,20.01883707807145,1840438.15,42.31091089874602,-35.73665203462949
E_basis,12,2,102.77648975791433,52125.5,2259.0,4.87617119721441,159.02540326157816,46.63950218739346,32.979108267870735,5519058.9,60.63950218739346,-55.76333099017905
F_divergence,1,1,1.7796610169491527,326.0,299.0,-3.911558747910885,146.52483458561142,42.97329359336516,30.386707309788928,507857.55000000005,56.97329359336516,-60.88485234127605
F_divergence,4,1,1.7796610169491527,326.0,299.0,2.5114723474867913,234.25452030965317,68.70294926665072,48.58032131396406,2031430.2000000002,82.70294926665072,-80.19147691916393
F_divergence,12,1,1.7796610169491527,326.0,299.0,7.628744450773892,408.0891374786603,119.68574724366717,84.63060348737619,6094290.600000001,133.68574724366715,-126.05700279289326
G_cross_sectional_hourly,1,5,168.89444444444445,48828.0,2035.0,1.151865612191498,10.415815854843657,3.054785313428215,2.1600594101941635,4405798.0,17.054785313428216,-15.902919701236717
G_cross_sectional_hourly,4,5,42.19444444444444,12206.0,2035.0,2.3072248757854426,20.555128714244603,6.0284769034872205,4.262776898682294,17622385.6,20.02847690348722,-17.721252027701777
G_cross_sectional_hourly,12,5,14.038888888888888,4068.0,2035.0,4.490368579782435,35.34677406987588,10.366620129474516,7.330307391536396,52857062.400000006,24.366620129474516,-19.876251549692082
H_funding_control,1,1,148.82777777777778,53657.0,2109.0,0.4990470496867695,20.129785911256896,5.903730943511842,4.174568184458078,308399.97500000003,19.903730943511842,-19.404683893825073
H_funding_control,4,1,148.7888888888889,53656.0,2109.0,1.5664784200461874,76.61827830483773,22.470864939200393,15.889300977635633,1233641.7,36.470864939200396,-34.90438651915421
H_funding_control,12,1,148.59444444444443,53641.0,2109.0,2.838643661841708,219.5130999214183,64.37953618709727,45.52320660754121,3700783.0500000003,78.37953618709727,-75.54089252525557
