mechanism_id,family,horizon_h,tier,verdict,n_raw,n_independent_L1,n_independent_L2_days,n_independent_L3_weeks,gross_bps,net_bps,net_bps_stress28,t_stat_declustered,event_rate_L1_per_week_recent6m,eta_forward_confirmation_years,eta_at_zero_cost_years,sharpe_net_ann,sharpe_gross_ann,net_bps_min_for_1y_confirm,cost_bps_for_1y_confirm,capacity_usd_estimate,ex_best_year_net_bps,best_year
M8_VOLSHOCK_REVERSION_6.0x,D_volshock,4,T_ALL,UNCONFIRMABLE_IN_HORIZON,19928,15195.0,2083.0,328.0,40.81373349644622,26.81373349644622,12.813733496446218,8.923663449476924,74.16111111111111,5.209626703896797,2.3369216315662915,2.454041204024299,3.664076499988544,64.82818011077342,-22.435143171332456,4706950.600000001,12.663570436290389,2025.0
M8_VOLSHOCK_REVERSION_6.0x,D_volshock,12,T_ALL,UNCONFIRMABLE_IN_HORIZON,19921,15188.0,2083.0,328.0,63.84486257001765,49.84486257001765,35.84486257001765,6.994987424132126,74.04444444444444,5.834245839562143,3.3995816685527003,2.3189575052573987,3.0379027526000906,109.11037578606023,-49.95338338142353,14120000.399999999,31.27281131165165,2025.0
M8_VOLSHOCK_REVERSION_6.0x,D_volshock,1,T_ALL,COST_FRAGILE,19928,15195.0,2083.0,328.0,15.124209324825886,1.1242093248258858,-12.875790675174114,8.034935372817051,74.16111111111111,15.158573816007053,2.573832582903808,1.4386527540351006,3.4913746922834257,38.21481353392805,-14.402895913132951,1176737.6500000001,-0.4681850830618064,2021.0
M8_VOLSHOCK_REVERSION_6.0x,D_volshock,12,T_LIQ,UNCONFIRMABLE_IN_HORIZON,8386,6822.0,1822.0,321.0,58.308693108920075,44.308693108920075,30.308693108920075,4.347471850934297,18.16111111111111,15.39072327809761,8.914134087201925,1.42776140504262,1.8760613031918056,166.0024444193074,-107.41474820719534,40492377.6,20.6833584825225,2025.0
M8_VOLSHOCK_REVERSION_6.0x,D_volshock,4,T_LIQ,UNCONFIRMABLE_IN_HORIZON,8390,6826.0,1822.0,321.0,37.88605534315188,23.88605534315188,9.886055343151881,4.848379642146584,18.2,15.761820932315977,6.973138258441878,1.4108536246639922,2.121155310768397,104.77080426745995,-62.962971156963,13496491.200000001,10.150800523318726,2025.0
M1_RESID_REVERSION_1H_z4.0,A_resid_move,12,T_ALL,COST_FRAGILE,52973,30029.0,2246.0,329.0,20.68098370479965,6.680983704799651,-7.319016295200349,5.519393560559696,128.56666666666666,19.83612692662861,6.048002116500772,1.2576410763317423,2.277616705404571,76.90809845963683,-45.6459457505085,12683752.8,-1.6852650982566715,2025.0
M8_VOLSHOCK_REVERSION_6.0x,D_volshock,1,T_LIQ,COST_FRAGILE,8390,6826.0,1822.0,321.0,18.864260883678906,4.864260883678906,-9.135739116321094,4.949079328399366,18.2,20.60069516694307,5.511490144433259,1.2340825601512928,2.385899187012888,64.61000578578533,-35.610087014692475,3374122.8000000003,-1.2130805060169347,2025.0
M1_RESID_REVERSION_1H_z4.0,A_resid_move,4,T_ALL,WEAK,53037,30067.0,2246.0,329.0,11.9473884166071,-2.052611583392901,-16.052611583392903,6.35165757561703,128.95555555555555,26.61772633747669,4.434309282386126,1.0856745941934591,2.6599508772206826,49.82885593392796,-26.173978653123758,4228433.600000001,-6.480843326077517,2021.0
M8_VOLSHOCK_REVERSION_3.0x,D_volshock,12,T_ALL,COST_FRAGILE,95827,58297.0,2289.0,330.0,24.60994361897535,10.60994361897535,-3.3900563810246496,6.2169163460150525,264.1722222222222,31.893698884580665,4.642999775532213,0.9918196494314981,2.599484758742951,48.79398430234022,-26.156939801207777,8983657.200000001,10.12195114221307,2021.0
M8_VOLSHOCK_REVERSION_3.0x,D_volshock,4,T_ALL,WEAK,95884,58337.0,2289.0,330.0,13.575178501797623,-0.4248214982023768,-14.424821498202377,9.05533661649089,264.9111111111111,33.985399805200196,2.1851112035140803,0.9608132006269208,3.7892201220213124,27.734476787551625,-8.978660109608615,2995516.2,-2.348510230273506,2021.0
M8_VOLSHOCK_REVERSION_3.0x,D_volshock,4,T_LIQ,COST_FRAGILE,49964,31323.0,2237.0,330.0,14.839986527737988,0.8399865277379881,-13.160013472262012,6.147147064976574,84.93333333333332,63.90394649603033,4.627059998643707,0.7006825681726412,2.603958396792716,41.21545859384835,-22.06142058900007,7977117.2,-2.6181685879588965,2021.0
M6_OI_BUILD_FADE_0.02,C_oi,12,T_ALL,WEAK,108067,54293.0,1704.0,244.0,11.043589018937636,-2.9564109810623638,-16.956410981062362,5.191747815000804,200.1611111111111,66.20909636347125,4.868715465879422,0.6883769545314593,2.5385131033084334,42.39925054111206,-23.190294773283235,6443764.199999999,-10.090659041046852,2025.0
M8_VOLSHOCK_REVERSION_3.0x,D_volshock,12,T_LIQ,COST_FRAGILE,49929,31298.0,2237.0,330.0,24.93105781285596,10.931057812855961,-3.0689421871440388,4.225972332467499,84.66111111111111,80.65676056556326,10.366534198486132,0.6236842332318626,1.739681777391388,70.2908232349568,-48.46681026024909,23931612.0,8.843491893187817,2025.0
M6_OI_BUILD_FADE_0.02,C_oi,12,T_LIQ,DEAD,62500,30429.0,1704.0,244.0,6.925724095411836,-7.074275904588164,-21.074275904588163,3.1521200268901577,70.50555555555555,144.45735499457115,13.549686032091246,0.4660315547540594,1.5216752985665574,74.30952588593779,-54.128992154933464,14876145.600000001,-13.33844208356523,2025.0
M3_RESID_REVERSION_4H_z2.5,A_resid_move,1,T_DEEP,DEAD,23224,6345.0,1846.0,306.0,2.158791058293272,-11.841208941706729,-25.84120894170673,5.28225646112883,13.883333333333333,157.45209039592592,5.9860214345590865,0.4463863824371533,2.289377830510207,39.24171790901177,-21.850812671413276,5988400.600000001,-12.131453837421132,2020.0
M8_VOLSHOCK_REVERSION_6.0x,D_volshock,4,T_DEEP,UNCONFIRMABLE_IN_HORIZON,919,811.0,548.0,248.0,39.483410560592965,25.483410560592965,11.483410560592965,1.7054761744592455,1.5761589403973508,252.31587463735804,112.52528525846374,0.35262481004905255,0.528033584072654,192.57552809472708,-150.43128406721627,67905625.60000001,6.873405655121051,2025.0
M1_RESID_REVERSION_1H_z4.0,A_resid_move,12,T_LIQ,WEAK,32072,18271.0,2173.0,328.0,11.42466722582683,-2.5753327741731695,-16.57533277417317,2.5808801398123395,48.68888888888889,303.4441012150661,26.338826174348295,0.3215479929649042,1.0914111812078464,101.89393038287314,-82.04656429204495,27259940.400000002,-10.463029836759643,2025.0
M1_RESID_REVERSION_1H_z4.0,A_resid_move,4,T_LIQ,WEAK,32121,18297.0,2173.0,328.0,12.533137917305838,-1.4668620826941616,-15.466862082694162,3.579743738257725,48.84444444444444,336.17932579539365,14.0414723398111,0.30549186649255256,1.4947903392707815,65.958535979547,-48.362394027977146,9081657.6,-8.987577253342192,2021.0
M3_RESID_REVERSION_4H_z2.5,A_resid_move,4,T_DEEP,DEAD,23222,6344.0,1846.0,306.0,-3.9207897328251247,-17.920789732825124,-31.920789732825124,2.4879267753605028,13.883333333333333,406.47826162021164,27.32758815238262,0.27782190864367917,1.0714846525991761,91.12453755049789,-72.22383287381521,23953602.400000002,-18.617665570015337,2020.0
M11_FLOW_PRICE_DIVERGENCE,F_divergence,12,T_LIQ,DEAD,518,326.0,299.0,144.0,7.628744450773892,-6.371255549226108,-20.371255549226106,1.0036852161480285,1.7796610169491527,465.05036628004746,92.37518543636672,0.25973779987901935,0.5827857782997546,119.68574724366717,-94.42943412236869,6094290.600000001,-14.263234340446195,2025.0
M4_FLOW_IMBALANCE_FADE_0.5,B_flow,12,T_DEEP,UNCONFIRMABLE_IN_HORIZON,437,39.0,40.0,15.0,34.08571872003062,20.08571872003062,6.08571872003062,0.5848293451804112,0.375,521.995439232823,168.20824618389346,0.24516123397532902,0.43187987342636036,97.23907263069064,-64.85709809539125,13874882.399999999,17.24525807547966,2025.0
