label,n,gross_bps,net_bps,pf
marginal_tail_bucket,3799,37.14,23.14,1.19
first_time_event,1509,7.82,-6.18,0.948
repeat_event,2290,56.46,42.46,1.345
serial_event_2plus,1155,100.6,86.6,1.738
