cond,IC,p,n
marginal_full_sample,0.33784925467191745,7.329622959551786e-36,1292
funding_subsample_marginal,0.34774439862682305,3.073258207691324e-37,1264
funding_extreme_top_q,0.43833011553931056,7.398933445720885e-15,286
funding_mid,0.32674587493308566,2.3849221907159466e-15,558
funding_low_bot_q,0.31942742122960344,2.0388318250188358e-11,420
