label,n,mean_bps,t,p
marginal_low_refill,151000,0.4412,85.05,0.0
marginal_high_refill,150997,-0.0124,-2.29,0.022
hivol_low_refill,51473,0.4818,40.04,0.0
hivol_high_refill,49809,-0.022,-1.69,0.0904
lovol_low_refill,48934,0.3717,74.12,0.0
lovol_high_refill,48237,-0.0282,-4.92,0.0
