symbol,role,feature,horizon_ms,expected_sign,n,ess,loo_ic,loo_partial_ic,partial_retention,third1_ic,third2_ic,third3_ic,positive_thirds,past_up_ic,past_down_ic,past_up_n,past_down_n,positive_regimes,block_p,top_minus_bottom_bps,symbol_pass,failed_gates
BTCUSDT,PRIMARY,okx__queue_imbalance_l5,30000,1,429707,1504.4700773070113,0.2280031359137119,0.2046603062369886,0.8976205762119104,0.31419253233406375,0.2743649192789689,0.1333116778311736,3,0.22284129528452937,0.1999822237627447,212781,216635,2,0.009900990099009901,1.1222774238877653,True,NONE
ETHUSDT,PRIMARY,okx__queue_imbalance_l5,30000,1,429694,1553.1062257940491,0.1444872779628927,0.13391801179132812,0.9268498492007096,0.21080703749290106,0.16446981603259067,0.09008724557439345,3,0.16002644139744918,0.10865992930663529,218769,210634,2,0.009900990099009901,0.9342442362250172,True,NONE
SOLUSDT,SUPPORT,okx__queue_imbalance_l5,30000,1,429676,1358.5382972526968,0.10497340828546665,0.08750785757805413,0.8336192851820493,0.13758318957046903,0.05134770349451876,0.1394458658868242,3,0.09041905591922693,0.09963656915800476,216980,212407,2,0.009900990099009901,0.9384070628300737,True,NONE
