date,exit_date,hold_days,regime,entry_val,exit_val,side,pnl_bps,capped
2021-06-16 00:00:00+00:00,2021-06-25 00:00:00+00:00,9,CHEAP,-3.4222845650744294,0.0,1,3.4222845650744294,True
2022-03-18 00:00:00+00:00,2022-03-25 00:00:00+00:00,7,CHEAP,-4.799150448260292,0.0,1,4.799150448260292,True
2022-06-14 00:00:00+00:00,2022-06-24 00:00:00+00:00,10,CHEAP,-2.2345074152541056,0.0,1,2.2345074152541056,True
2022-06-24 00:00:00+00:00,2022-07-08 00:00:00+00:00,14,CHEAP,-8.493817480929033,20.353843745106737,1,28.84766122603577,False
2022-07-19 00:00:00+00:00,2022-08-02 00:00:00+00:00,14,CHEAP,-3.114072363256115,44.54069706804509,1,47.654769431301204,False
2022-08-07 00:00:00+00:00,2022-08-21 00:00:00+00:00,14,CHEAP,-33.485361188759775,-93.12564541761326,1,-59.64028422885348,False
2022-09-21 00:00:00+00:00,2022-09-30 00:00:00+00:00,9,CHEAP,-13.824255137880881,0.0,1,13.824255137880881,True
2022-09-30 00:00:00+00:00,2022-10-14 00:00:00+00:00,14,CHEAP,-10.769856452123028,-29.798896051259625,1,-19.029039599136595,False
2022-11-08 00:00:00+00:00,2022-11-22 00:00:00+00:00,14,CHEAP,-7.574621268936488,-17.29420336929577,1,-9.71958210035928,False
2022-12-05 00:00:00+00:00,2022-12-19 00:00:00+00:00,14,CHEAP,-1.5889914671163297,-6.596927716520096,1,-5.007936249403766,False
2022-12-22 00:00:00+00:00,2022-12-30 00:00:00+00:00,8,CHEAP,-1.971430683676001,0.0,1,1.971430683676001,True
