date,exit_date,regime,entry_val,exit_val,side,pnl_bps
2025-08-12 00:00:00+00:00,2025-08-19 00:00:00+00:00,RICH,233.01812619603845,184.05567300916027,-1,48.96245318687818
2025-11-01 00:00:00+00:00,2025-11-08 00:00:00+00:00,CHEAP,154.74580244909885,125.86870109682957,1,-28.87710135226928
2025-12-26 00:00:00+00:00,2026-01-02 00:00:00+00:00,CHEAP,117.74967785145307,115.0416171224733,1,-2.708060728979774
2026-01-29 00:00:00+00:00,2026-02-05 00:00:00+00:00,CHEAP,105.30194223060674,89.64841679155234,1,-15.653525439054405
2026-02-23 00:00:00+00:00,2026-03-02 00:00:00+00:00,CHEAP,84.17731668804996,67.10815624438204,1,-17.06916044366791
2026-04-13 00:00:00+00:00,2026-04-20 00:00:00+00:00,CHEAP,68.37260588565374,71.75384372055005,1,3.381237834896311
2026-04-21 00:00:00+00:00,2026-04-28 00:00:00+00:00,CHEAP,68.45182392044347,57.33811434394775,1,-11.113709576495722
2026-05-08 00:00:00+00:00,2026-05-15 00:00:00+00:00,CHEAP,57.63645711312382,63.3438906484396,1,5.707433535315779
2026-05-17 00:00:00+00:00,2026-05-24 00:00:00+00:00,CHEAP,56.075055494968495,59.21812896104717,1,3.1430734660786754
2026-05-25 00:00:00+00:00,2026-06-01 00:00:00+00:00,CHEAP,44.04541812829122,67.77472519794436,1,23.729307069653146
2026-08-03 00:00:00+00:00,2026-08-10 00:00:00+00:00,RICH,109.8794486937149,103.29370189944731,-1,6.5857467942675925
2026-08-11 00:00:00+00:00,2026-08-18 00:00:00+00:00,RICH,108.54753139633245,108.51330468143239,-1,0.034226714900057686
2026-08-20 00:00:00+00:00,2026-08-27 00:00:00+00:00,RICH,112.25366518922586,112.6400548482165,-1,-0.3863896589906375
