key,signal,neutral,horizon,basket,hold,smooth,state,regime,dir,n_days,n_indep,gross_dly,cost_dly,net_dly,net_per_hold,t,t_dir,t_inv,stab,nw_lag,meff,thr,passes,passes_placebo
funding_trend_3|full|h1|k12|hd1|sm5|-|-,funding_trend_3,full,1,12,1,5,-,-,DIR,849,849,2.2208399124471496,8.916587988729882,-6.695748076282732,-6.695748076282732,-1.0342594003937402,-1.0342594003937402,-1.7091660905798747,0.25,8,798.0000000000082,4.002575583248625,False,False
lsr_ttpos_chg7|full|h3|k12|hd1|sm0|-|-,lsr_ttpos_chg7,full,3,12,1,0,-,-,DIR,580,193,0.3253773709843464,6.33077874110979,-6.005401370125444,-18.016204110376332,-1.0375069309703318,-1.0375069309703318,-1.1540684435001796,0.25,5,798.0000000000082,4.002575583248625,False,False
lsr_ttpos_chg7|mkt|h1|k12|hd1|sm0|-|-,lsr_ttpos_chg7,mkt,1,12,1,0,-,-,INV,580,580,-2.4679258081092006,10.196223546634986,-7.7282977385257885,-7.7282977385257885,-1.0375602462015234,-1.695329000909045,-1.0375602462015234,0.25,3,798.0000000000082,4.002575583248625,False,False
trade_count_z60|allf|h1|k12|hd5|sm0|-|-,trade_count_z60,allf,1,12,5,0,-,-,INV,853,170,-0.13891812594409908,4.505716387099837,-4.366798261155739,-4.366798261155739,-1.0395155718814744,-1.1065138419760066,-1.0395155718814744,0.25,7,798.0000000000082,4.002575583248625,False,False
oi_x_taker|raw|h1|k8|hd1|sm0|-|-,oi_x_taker,raw,1,8,1,0,-,-,DIR,853,853,2.992752393205552,12.83977622944786,-9.847023836242306,-9.847023836242306,-1.0397391759484576,-1.0397391759484576,-1.6751362677397197,0.25,3,798.0000000000082,4.002575583248625,False,False
funding_z60|raw|h3|k12|hd1|sm0|-|-,funding_z60,raw,3,12,1,0,-,-,INV,853,284,-0.8285937908190297,6.634682041146639,-5.80608825032761,-17.41826475098283,-1.0410628410805205,-1.3368197397964998,-1.0410628410805205,0.5,5,798.0000000000082,4.002575583248625,False,False
trend_quality_60|allf|h1|k8|hd1|sm0|-|-,trend_quality_60,allf,1,8,1,0,-,-,INV,853,853,-0.9879643018455357,9.121888777110852,-8.133924475265319,-8.133924475265319,-1.0417506681901363,-1.2975674785540454,-1.0417506681901363,0.25,3,798.0000000000082,4.002575583248625,False,False
lsr_ttpos_x|allf|h1|k12|hd1|sm0|-|-,lsr_ttpos_x,allf,1,12,1,0,-,-,DIR,596,596,0.25525739335299,6.36801053305068,-6.1127531396976895,-6.1127531396976895,-1.0420183231821856,-1.0420183231821856,-1.1303812460758988,0.25,3,798.0000000000082,4.002575583248625,False,False
dist_low_5|mom|h1|k8|hd1|sm0|-|-,dist_low_5,mom,1,8,1,0,-,-,INV,853,853,-14.229967765676518,23.181958197599897,-8.951990431923381,-8.951990431923381,-1.0424762686627003,-4.350741009899971,-1.0424762686627003,0.25,3,798.0000000000082,4.002575583248625,False,False
mom_skip1_5|raw|h1|k12|hd1|sm5|-|-,mom_skip1_5,raw,1,12,1,5,-,-,INV,849,849,-0.31210618038066307,7.747573017940207,-7.435466837559543,-7.435466837559543,-1.0475000792265707,-1.1302885599772456,-1.0475000792265707,0.0,8,798.0000000000082,4.002575583248625,False,False
lsr_ttpos_chg3|mom|h1|k12|hd5|sm0|-|-,lsr_ttpos_chg3,mom,1,12,5,0,-,-,INV,588,117,-0.7022341696092391,5.171118398435576,-4.468884228826336,-4.468884228826336,-1.049881020043774,-1.3769511140305244,-1.049881020043774,0.25,7,798.0000000000082,4.002575583248625,False,False
oi_price_newlong_20|full|h1|k12|hd1|sm0|-|-,oi_price_newlong_20,full,1,12,1,0,-,-,DIR,853,853,0.46045674805375353,6.0164060933671255,-5.555949345313374,-5.555949345313374,-1.0518249167106435,-1.0518249167106435,-1.2277346074999804,0.5,3,798.0000000000082,4.002575583248625,False,False
dist_low_20|allf|h1|k12|hd5|sm0|-|-,dist_low_20,allf,1,12,5,0,-,-,DIR,853,170,0.3203561067760892,4.825570093888483,-4.505213987112392,-4.505213987112392,-1.0523519957691099,-1.0523519957691099,-1.2015296983551733,0.5,7,798.0000000000082,4.002575583248625,False,False
trend_quality_5|mom|h1|k12|hd5|sm0|-|-,trend_quality_5,mom,1,12,5,0,-,-,DIR,853,170,1.0050805962313143,5.332889029702384,-4.327808433471069,-4.327808433471069,-1.05252381568144,-1.05252381568144,-1.5414740860448632,0.0,7,798.0000000000082,4.002575583248625,False,False
lsr_takerls_chg20|mom|h3|k12|hd1|sm0|-|-,lsr_takerls_chg20,mom,3,12,1,0,-,-,INV,763,254,-3.4588619015695423,7.636832769718575,-4.17797086814903,-12.53391260444709,-1.0533553787090588,-2.7943866120724885,-1.0533553787090588,0.25,5,798.0000000000082,4.002575583248625,False,False
taker_imb_z20|full|h1|k12|hd5|sm0|-|-,taker_imb_z20,full,1,12,5,0,-,-,INV,853,170,-1.2538619984288801,5.206714239853964,-3.9528522414250844,-3.9528522414250844,-1.0539347317718415,-1.7212876154264107,-1.0539347317718415,0.0,7,798.0000000000082,4.002575583248625,False,False
close_location_10|allf|h1|k8|hd1|sm0|-|-,close_location_10,allf,1,8,1,0,-,-,INV,853,853,-5.357754592362141,13.14720933472983,-7.789454742367689,-7.789454742367689,-1.0542098704078058,-2.5119181385000307,-1.0542098704078058,0.25,3,798.0000000000082,4.002575583248625,False,False
funding_trend_3|mom|h1|k12|hd1|sm5|-|-,funding_trend_3,mom,1,12,1,5,-,-,DIR,849,849,1.9426658283096865,8.78915966014881,-6.8464938318391235,-6.8464938318391235,-1.0545806949729566,-1.0545806949729566,-1.6507525625711958,0.0,8,798.0000000000082,4.002575583248625,False,False
trend_quality_5|allf|h1|k8|hd1|sm0|-|-,trend_quality_5,allf,1,8,1,0,-,-,DIR,853,853,11.114457602257087,18.780461000842443,-7.666003398585357,-7.666003398585357,-1.0570077347955589,-1.0570077347955589,-4.12758310969561,0.25,3,798.0000000000082,4.002575583248625,False,False
oi_intraday_chg_5|mkt|h1|k12|hd1|sm5|-|-,oi_intraday_chg_5,mkt,1,12,1,5,-,-,DIR,849,849,1.2423573115803341,7.550568903829162,-6.308211592248825,-6.308211592248825,-1.0580035712777733,-1.0580035712777733,-1.4605452653323745,0.25,8,798.0000000000082,4.002575583248625,False,False
