key,signal,neutral,horizon,basket,hold,smooth,state,regime,dir,n_days,n_indep,gross_dly,cost_dly,net_dly,net_per_hold,t,t_dir,t_inv,stab,nw_lag,meff,thr,passes
pos_crowd_vs_univ|mkt|h3|k8|hd1|sm0|-|-,pos_crowd_vs_univ,mkt,3,8,1,0,-,-,DIR,640,213,27.46655665852714,3.1554853066365447,24.311071351890597,72.93321405567178,2.399433281029296,2.399433281029296,-3.023529001428862,1.0,5,4.999999999999999,2.5758293035489004,False
pos_crowd_vs_univ|mkt|h1|k8|hd5|sm0|-|-,pos_crowd_vs_univ,mkt,1,8,5,0,-,-,DIR,640,128,23.612773008241135,2.246188288778522,21.36658471946261,21.36658471946261,2.0829329576498425,2.0829329576498425,-2.5229241679344194,1.0,7,4.999999999999999,2.5758293035489004,False
flow_vs_crowd_10|mkt|h3|k8|hd1|sm5|-|-,flow_vs_crowd_10,mkt,3,8,1,5,-,-,DIR,636,212,27.22468017047432,1.5487194725818583,25.67596069789246,77.02788209367738,1.9342100018036177,1.9342100018036177,-2.1659306203394677,0.75,10,4.999999999999999,2.5758293035489004,False
flow_vs_crowd_10|mkt|h1|k8|hd1|sm5|-|-,flow_vs_crowd_10,mkt,1,8,1,5,-,-,DIR,636,636,26.648711114105897,2.102195945675567,24.54651516843033,24.54651516843033,1.8141682152565917,1.8141682152565917,-2.122999001851523,0.5,8,4.999999999999999,2.5758293035489004,False
dis_pos_vs_acct|allf|h1|k8|hd5|sm5|-|-,dis_pos_vs_acct,allf,1,8,5,5,-,-,DIR,636,127,15.520968689931475,1.3900716512433338,14.130897038688142,14.130897038688142,1.8132628187176771,1.8132628187176771,-2.1700535121919673,0.75,12,4.999999999999999,2.5758293035489004,False
pos_ttacct_vs_univ|mkt|h1|k8|hd5|sm0|-|-,pos_ttacct_vs_univ,mkt,1,8,5,0,-,-,DIR,640,128,19.846271047974863,2.239092032102529,17.607179015872337,17.607179015872337,1.7686153536449383,1.7686153536449383,-2.2194315542674707,1.0,7,4.999999999999999,2.5758293035489004,False
pos_crowd_ex_mom20|mkt|h1|k12|hd5|sm0|-|-,pos_crowd_ex_mom20,mkt,1,12,5,0,-,-,DIR,640,128,15.000816473464406,2.0917874215899426,12.909029051874464,12.909029051874464,1.6574445018084094,1.6574445018084094,-2.1951229567050365,0.75,7,4.999999999999999,2.5758293035489004,False
pos_crowd_ex_mom60|mkt|h1|k12|hd1|sm0|-|-,pos_crowd_ex_mom60,mkt,1,12,1,0,-,-,DIR,640,640,14.61181464552331,5.279222116605146,9.332592528918166,9.332592528918166,1.1090557202020028,1.1090557202020028,-2.36409715811729,0.75,3,4.999999999999999,2.5758293035489004,False
dis_flow_vs_stock|mom|h1|k12|hd5|sm0|-|-,dis_flow_vs_stock,mom,1,12,5,0,-,-,DIR,640,128,10.19974506066924,2.9553481450814822,7.244396915587755,7.244396915587755,1.0435959954726888,1.0435959954726888,-1.901826310209032,0.75,7,4.999999999999999,2.5758293035489004,False
pos_crowd_own_pct|mkt|h3|k8|hd1|sm0|-|-,pos_crowd_own_pct,mkt,3,8,1,0,-,-,DIR,640,213,12.378867022983215,4.791621755000973,7.58724526798224,22.76173580394672,0.7433314871863663,0.7433314871863663,-1.6825873882674025,0.75,5,4.999999999999999,2.5758293035489004,False
