symbol,year,n_hours,tbb_is_half_volume,tbq_is_half_qav,tbratio_base_eq_0p5,ntr_zero_rate,trades_zero_rate,vol_zero_rate,n_match_perp,n_match_spot,frac_eq_perp,frac_eq_spot,source
STXUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0757,PERP
STXUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.062,PERP
STXUSDT,2026,4297,1.0,1.0,1.0,1.0,1.0,0.0,4297,4297,0.9998,0.0391,PERP
SUIUSDT,2023,5816,1.0,1.0,1.0,1.0,1.0,0.0,5816,5816,1.0,0.0476,PERP
SUIUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0566,PERP
SUIUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0304,PERP
SUIUSDT,2026,4296,1.0,1.0,1.0,1.0,1.0,0.0,4296,4296,0.9998,0.0002,PERP
TAOUSDT,2024,6346,1.0,1.0,1.0,1.0,1.0,0.0,6346,6346,0.9997,0.107,PERP
TAOUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.084,PERP
TAOUSDT,2026,4297,1.0,1.0,1.0,1.0,1.0,0.0,4297,4297,0.9998,0.0421,PERP
TIAUSDT,2023,1470,1.0,1.0,1.0,1.0,1.0,0.0,1470,1470,1.0,0.0612,PERP
TIAUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0494,PERP
TIAUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0925,PERP
TIAUSDT,2026,4297,1.0,1.0,1.0,1.0,1.0,0.0,4297,4297,0.9998,0.0054,PERP
TRXUSDT,2021,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8747,1.0,0.0591,PERP
TRXUSDT,2022,8760,1.0,1.0,1.0,1.0,1.0,0.0,8640,8760,1.0,0.0135,PERP
TRXUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.0491,PERP
TRXUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.1125,PERP
TRXUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.075,PERP
TRXUSDT,2026,4296,1.0,1.0,1.0,1.0,1.0,0.0,4296,4296,0.9998,0.0277,PERP
UNIUSDT,2021,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8747,1.0,0.0608,PERP
UNIUSDT,2022,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0607,PERP
UNIUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.0511,PERP
UNIUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0454,PERP
UNIUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0404,PERP
UNIUSDT,2026,4296,1.0,1.0,1.0,1.0,1.0,0.0,4296,4296,0.9998,0.0228,PERP
VETUSDT,2021,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8747,1.0,0.0524,PERP
VETUSDT,2022,8760,1.0,1.0,1.0,1.0,1.0,0.0,8640,8760,1.0,0.1016,PERP
VETUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.1675,PERP
VETUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0433,PERP
VETUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0543,PERP
VETUSDT,2026,4298,1.0,1.0,1.0,1.0,1.0,0.0,4298,4298,0.9998,0.0202,PERP
WIFUSDT,2024,8362,1.0,1.0,1.0,1.0,1.0,0.0,8362,7234,0.9998,0.0883,PERP
WIFUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0768,PERP
WIFUSDT,2026,4297,1.0,1.0,1.0,1.0,1.0,0.0,4297,4297,0.9998,0.0621,PERP
WLDUSDT,2023,3852,1.0,1.0,1.0,1.0,1.0,0.0,3852,3852,1.0,0.0779,PERP
WLDUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0912,PERP
WLDUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.1243,PERP
WLDUSDT,2026,4298,1.0,1.0,1.0,1.0,1.0,0.0,4298,4298,0.9998,0.0268,PERP
XRPUSDT,2018,5772,0.0,1.0,0.0,0.0,0.0,0.0,0,0,,,NO_V2_REF
XRPUSDT,2019,8732,0.0,1.0,0.0,0.0001,0.0001,0.0001,0,0,,,NO_V2_REF
XRPUSDT,2020,8766,0.0,1.0,0.0,0.0,0.0,0.0,8638,8766,0.0702,0.9999,SPOT
XRPUSDT,2021,8747,0.0,1.0,0.0,0.0001,0.0001,0.0001,8747,8747,0.0508,0.9999,SPOT
XRPUSDT,2022,8760,0.0,1.0,0.0,0.0,0.0,0.0,8640,8760,0.0361,0.9998,SPOT
XRPUSDT,2023,8759,0.0,1.0,0.0,0.0001,0.0001,0.0001,8759,8759,0.0601,1.0,SPOT
XRPUSDT,2024,8784,0.0,1.0,0.0,0.0,0.0,0.0,8784,8784,0.0656,1.0,SPOT
XRPUSDT,2025,8760,0.0,1.0,0.0,0.0,0.0,0.0,8760,8760,0.0263,1.0,SPOT
XRPUSDT,2026,5925,0.0,1.0,0.0,0.0,0.0,0.0,5088,5088,0.0,1.0,SPOT
