symbol,source,year,n_hours,close_med_abs_dev_bps,close_p99_abs_dev_bps,frac_close_dev_gt_1bp,vol_med_abs_rel_dev,ntr_enriched_zero_rate,tbb_eq_half_vol_rate,tbq_eq_half_qav_rate,tbb_med_abs_rel_dev_vs_v2
BTCUSDT,perp,2026,5088,4.779,7.16,0.9998,0.886,0.0,0.0,1.0,0.8886
BTCUSDT,spot,2019,2647,3.606,16.29,0.8236,1.1252,0.0011,1.0,1.0,1.096
BTCUSDT,spot,2020,8767,4.973,19.52,0.9018,2.7025,0.0,1.0,1.0,2.8077
BTCUSDT,spot,2021,8747,5.946,23.37,0.9241,4.5321,0.0,1.0,1.0,4.6272
BTCUSDT,spot,2022,8760,4.423,8.45,0.9628,3.6902,0.0,1.0,1.0,3.7184
BTCUSDT,spot,2023,8759,4.251,9.72,0.9507,6.7129,0.0,1.0,1.0,7.0203
BTCUSDT,spot,2024,8784,4.477,12.31,0.9344,6.5855,0.0,1.0,1.0,6.7218
BTCUSDT,spot,2025,8760,4.428,6.57,0.986,6.981,0.0,1.0,1.0,7.4057
BTCUSDT,spot,2026,5088,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DOGEUSDT,perp,2020,4185,10.674,45.25,0.945,0.546,0.0,0.0,1.0,0.5249
DOGEUSDT,perp,2021,8747,8.11,55.2,0.9289,0.5106,0.0001,0.0001,1.0,0.4966
DOGEUSDT,perp,2022,8760,5.078,16.02,0.9386,0.7648,0.0,0.0,1.0,0.7618
DOGEUSDT,perp,2023,8759,5.012,12.47,0.9637,0.8452,0.0001,0.0001,1.0,0.8458
DOGEUSDT,perp,2024,8784,5.023,15.01,0.9495,0.7692,0.0,0.0,1.0,0.7694
DOGEUSDT,perp,2025,8760,4.718,8.1,0.9836,0.8283,0.0,0.0,1.0,0.8296
DOGEUSDT,perp,2026,5088,5.454,8.86,0.999,0.862,0.0,0.0,1.0,0.8637
DOGEUSDT,spot,2020,4410,0.0,0.0,0.0002,0.0,0.0,0.0,1.0,0.0
DOGEUSDT,spot,2021,8747,0.0,0.0,0.0003,0.0,0.0001,0.0001,1.0,0.0
DOGEUSDT,spot,2022,8760,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DOGEUSDT,spot,2023,8759,0.0,0.0,0.0,0.0,0.0001,0.0001,1.0,0.0
DOGEUSDT,spot,2024,8784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DOGEUSDT,spot,2025,8760,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DOGEUSDT,spot,2026,5088,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DOTUSDT,perp,2021,8760,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0582
DOTUSDT,perp,2022,8760,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0561
DOTUSDT,perp,2023,8760,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0591
