symbol,ref,year,n,frac_close_eq,frac_vol_eq_1pct,vol_median_ratio
TIAUSDT,spot,2023,1470,0.0612,0.0,4.7461
TIAUSDT,spot,2024,8784,0.0494,0.0,5.1432
TIAUSDT,spot,2025,8760,0.0925,0.0,7.4811
TIAUSDT,spot,2026,4297,0.0054,0.0,6.7224
TRXUSDT,perp,2021,8760,1.0,1.0,1.0
TRXUSDT,perp,2022,8640,1.0,1.0,1.0
TRXUSDT,perp,2023,8760,1.0,0.9999,1.0
TRXUSDT,perp,2024,8784,0.9998,0.9997,1.0
TRXUSDT,perp,2025,8760,1.0,0.9995,1.0
TRXUSDT,perp,2026,4296,0.9998,0.9998,1.0
TRXUSDT,spot,2021,8747,0.0591,0.007,1.5305
TRXUSDT,spot,2022,8760,0.0135,0.0056,1.9323
TRXUSDT,spot,2023,8759,0.0491,0.0005,2.4701
TRXUSDT,spot,2024,8784,0.1125,0.0141,1.4827
TRXUSDT,spot,2025,8760,0.075,0.0271,1.1267
TRXUSDT,spot,2026,4296,0.0277,0.0172,1.3242
UNIUSDT,perp,2021,8760,1.0,1.0,1.0
UNIUSDT,perp,2022,8760,1.0,1.0,1.0
UNIUSDT,perp,2023,8760,1.0,0.9999,1.0
UNIUSDT,perp,2024,8784,0.9998,0.9997,1.0
UNIUSDT,perp,2025,8760,1.0,0.9995,1.0
UNIUSDT,perp,2026,4296,0.9998,0.9998,1.0
UNIUSDT,spot,2021,8747,0.0608,0.0008,2.9203
UNIUSDT,spot,2022,8760,0.0607,0.0,4.8496
UNIUSDT,spot,2023,8759,0.0511,0.0,6.8788
UNIUSDT,spot,2024,8784,0.0454,0.0,4.8455
UNIUSDT,spot,2025,8760,0.0404,0.0,4.1092
UNIUSDT,spot,2026,4296,0.0228,0.0,5.278
VETUSDT,perp,2021,8760,1.0,1.0,1.0
VETUSDT,perp,2022,8640,1.0,1.0,1.0
VETUSDT,perp,2023,8760,1.0,0.9999,1.0
VETUSDT,perp,2024,8784,0.9998,0.9997,1.0
VETUSDT,perp,2025,8760,1.0,0.9995,1.0
VETUSDT,perp,2026,4298,0.9998,1.0,1.0
VETUSDT,spot,2021,8747,0.0524,0.0205,1.201
VETUSDT,spot,2022,8760,0.1016,0.0001,2.6045
VETUSDT,spot,2023,8759,0.1675,0.0,3.7022
VETUSDT,spot,2024,8784,0.0433,0.0,2.6729
VETUSDT,spot,2025,8760,0.0543,0.0002,2.8104
VETUSDT,spot,2026,4298,0.0202,0.0,4.5471
WIFUSDT,perp,2024,8362,0.9998,0.9996,1.0
WIFUSDT,perp,2025,8760,1.0,0.9995,1.0
WIFUSDT,perp,2026,4297,0.9998,0.9998,1.0
WIFUSDT,spot,2024,7234,0.0883,0.0,4.1748
WIFUSDT,spot,2025,8760,0.0768,0.0,6.4033
WIFUSDT,spot,2026,4297,0.0621,0.0,9.0562
WLDUSDT,perp,2023,3852,1.0,0.9997,1.0
WLDUSDT,perp,2024,8784,0.9998,0.9997,1.0
WLDUSDT,perp,2025,8760,1.0,0.9995,1.0
WLDUSDT,perp,2026,4298,0.9998,0.9998,1.0
WLDUSDT,spot,2023,3852,0.0779,0.0,8.3313
WLDUSDT,spot,2024,8784,0.0912,0.0,4.9835
WLDUSDT,spot,2025,8760,0.1243,0.0,4.6796
WLDUSDT,spot,2026,4298,0.0268,0.0,6.5184
XRPUSDT,perp,2020,8638,0.0702,0.0124,0.7574
XRPUSDT,perp,2021,8747,0.0508,0.0006,0.4292
XRPUSDT,perp,2022,8640,0.0361,0.0001,0.3264
XRPUSDT,perp,2023,8759,0.0601,0.0,0.264
XRPUSDT,perp,2024,8784,0.0656,0.0002,0.3347
XRPUSDT,perp,2025,8760,0.0263,0.0,0.2165
XRPUSDT,perp,2026,5088,0.0,0.0,0.1862
XRPUSDT,spot,2020,8766,0.9999,0.9999,1.0
XRPUSDT,spot,2021,8747,0.9999,0.9992,1.0
XRPUSDT,spot,2022,8760,0.9998,1.0,1.0
XRPUSDT,spot,2023,8759,1.0,1.0,1.0
XRPUSDT,spot,2024,8784,1.0,1.0,1.0
XRPUSDT,spot,2025,8760,1.0,1.0,1.0
XRPUSDT,spot,2026,5088,1.0,1.0,1.0
