key,signal,neutral,horizon,basket,hold,smooth,state,regime,dir,n_days,n_indep,gross_dly,cost_dly,net_dly,net_per_hold,t,t_dir,t_inv,stab,nw_lag,meff,thr,passes
lsr_globacct_x|mkt|h1|k8|hd5|sm0|-|-,lsr_globacct_x,mkt,1,8,5,0,-,-,DIR,854,170,34.15441975646723,2.843949998244672,31.310469758222553,31.310469758222553,4.31531793012056,4.31531793012056,-5.105781521878941,1.0,7,839.0000000000105,4.014409690501416,True
lsr_globacct_x|mkt|h3|k8|hd1|sm0|-|-,lsr_globacct_x,mkt,3,8,1,0,-,-,DIR,854,284,36.31666933703404,4.041580994699257,32.2750883423348,96.82526502700439,4.161936124255844,4.161936124255844,-5.212193114263041,1.0,5,839.0000000000105,4.014409690501416,True
lsr_globacct_x|mkt|h1|k12|hd5|sm0|-|-,lsr_globacct_x,mkt,1,12,5,0,-,-,DIR,854,170,27.516798359300903,2.6119357667691134,24.904862592531792,24.904862592531792,4.000386059319985,4.000386059319985,-4.85048360661937,1.0,7,839.0000000000105,4.014409690501416,False
lsr_ttacct_x|mkt|h1|k8|hd5|sm0|-|-,lsr_ttacct_x,mkt,1,8,5,0,-,-,DIR,597,119,35.114937334064464,2.789369440125514,32.32556789393896,32.32556789393896,3.838113311563376,3.838113311563376,-4.499183297312485,1.0,7,839.0000000000105,4.014409690501416,False
lsr_globacct_x|mkt|h3|k12|hd1|sm0|-|-,lsr_globacct_x,mkt,3,12,1,0,-,-,DIR,854,284,29.068828382738197,3.6856856241783302,25.38314275855987,76.14942827567961,3.81563253055189,3.81563253055189,-4.937089234771811,1.0,5,839.0000000000105,4.014409690501416,False
lsr_ttacct_x|mkt|h1|k12|hd5|sm0|-|-,lsr_ttacct_x,mkt,1,12,5,0,-,-,DIR,597,119,29.145333854794323,2.553191047440496,26.59214280735383,26.59214280735383,3.773758433807147,3.773758433807147,-4.503448827851664,1.0,7,839.0000000000105,4.014409690501416,False
lsr_ttacct_x|mkt|h3|k8|hd1|sm0|-|-,lsr_ttacct_x,mkt,3,8,1,0,-,-,DIR,597,199,37.886451009749784,3.9766191002433775,33.90983190950641,101.72949572851923,3.6623485999549232,3.6623485999549232,-4.523902763297971,1.0,5,839.0000000000105,4.014409690501416,False
lsr_ttacct_x|mkt|h3|k12|hd1|sm5|-|-,lsr_ttacct_x,mkt,3,12,1,5,-,-,DIR,763,254,23.49562404135838,1.772098421406248,21.72352561995213,65.1705768598564,3.629560787902673,3.629560787902673,-4.203046072213606,1.0,10,839.0000000000105,4.014409690501416,False
lsr_globacct_x|mkt|h1|k12|hd1|sm0|-|-,lsr_globacct_x,mkt,1,12,1,0,-,-,DIR,854,854,32.231163318990326,6.714263847783827,25.516899471206504,25.516899471206504,3.4453199604749014,3.4453199604749014,-5.267522292874872,1.0,3,839.0000000000105,4.014409690501416,False
lsr_ttacct_x|mkt|h3|k12|hd1|sm0|-|-,lsr_ttacct_x,mkt,3,12,1,0,-,-,DIR,597,199,30.21359327111689,3.6253013680508084,26.58829190306608,79.76487570919824,3.429712679925378,3.429712679925378,-4.370007835871967,1.0,5,839.0000000000105,4.014409690501416,False
lsr_ttacct_x|mkt|h1|k12|hd5|sm5|-|-,lsr_ttacct_x,mkt,1,12,5,5,-,-,DIR,763,152,20.604438779068502,1.4532746951629318,19.15116408390557,19.15116408390557,3.408425989683672,3.408425989683672,-3.9123213605504965,1.0,12,839.0000000000105,4.014409690501416,False
lsr_globacct_x|mkt|h1|k8|hd1|sm0|-|-,lsr_globacct_x,mkt,1,8,1,0,-,-,DIR,854,854,36.66244561696041,7.4488778310164765,29.21356778594393,29.21356778594393,3.272943115948058,3.272943115948058,-4.947812552557596,1.0,3,839.0000000000105,4.014409690501416,False
lsr_ttacct_x|mkt|h1|k12|hd1|sm5|-|-,lsr_ttacct_x,mkt,1,12,1,5,-,-,DIR,763,763,23.836262454418385,2.447235913112669,21.389026541305707,21.389026541305707,3.188828606301039,3.188828606301039,-3.9038511525583504,1.0,8,839.0000000000105,4.014409690501416,False
lsr_globacct_x|allf|h1|k12|hd5|sm0|-|-,lsr_globacct_x,allf,1,12,5,0,-,-,DIR,854,170,18.308559148820226,3.137599093019935,15.170960055800291,15.170960055800291,3.147126745575078,3.147126745575078,-4.4437054241632366,1.0,7,839.0000000000105,4.014409690501416,False
lsr_smart_dumb|allf|h1|k12|hd5|sm0|-|-,lsr_smart_dumb,allf,1,12,5,0,-,-,DIR,597,119,18.525483824951507,2.952035157970797,15.573448666980712,15.573448666980712,3.097208917953807,3.097208917953807,-4.289254122321215,1.0,7,839.0000000000105,4.014409690501416,False
lsr_takerls_x|mom|h1|k8|hd1|sm5|-|-,lsr_takerls_x,mom,1,8,1,5,-,-,INV,780,780,-28.82601501199006,6.435912614126986,22.390102397863075,22.390102397863075,3.081192363054291,-4.815458313567125,3.081192363054291,1.0,8,839.0000000000105,4.014409690501416,False
lsr_globacct_x|mkt|h3|k8|hd1|sm5|-|-,lsr_globacct_x,mkt,3,8,1,5,-,-,DIR,850,283,24.006763024271027,2.511121411007085,21.495641613263945,64.48692483979184,3.0660771708785397,3.0660771708785397,-3.780289803286328,1.0,10,839.0000000000105,4.014409690501416,False
lsr_globacct_x|mkt|h1|k8|hd5|sm5|-|-,lsr_globacct_x,mkt,1,8,5,5,-,-,DIR,850,170,22.940903187665914,2.0243604546401386,20.916542733025768,20.916542733025768,3.059355730991182,3.059355730991182,-3.6502187087746356,1.0,12,839.0000000000105,4.014409690501416,False
lsr_globacct_x|mkt|h3|k12|hd1|sm5|-|-,lsr_globacct_x,mkt,3,12,1,5,-,-,DIR,850,283,20.306931427855965,2.2060164166831377,18.100915011172823,54.30274503351847,3.0447007839637514,3.0447007839637514,-3.7914761213135204,1.0,10,839.0000000000105,4.014409690501416,False
lsr_globacct_x|mkt|h1|k12|hd1|sm5|-|-,lsr_globacct_x,mkt,1,12,1,5,-,-,DIR,850,850,21.83357270682715,3.027790847911978,18.80578185891517,18.80578185891517,2.9676355860568533,2.9676355860568533,-3.931803997679293,1.0,8,839.0000000000105,4.014409690501416,False
lsr_ttacct_x|mkt|h1|k12|hd1|sm0|-|-,lsr_ttacct_x,mkt,1,12,1,0,-,-,DIR,597,597,32.58955883188574,6.652705086900038,25.936853744985697,25.936853744985697,2.958982103974563,2.958982103974563,-4.486143428489689,0.75,3,839.0000000000105,4.014409690501416,False
lsr_globacct_x|full|h1|k12|hd5|sm0|-|-,lsr_globacct_x,full,1,12,5,0,-,-,DIR,854,170,21.804092855583846,2.6470090469932415,19.15708380859061,19.15708380859061,2.9212397808264865,2.9212397808264865,-3.733870036382387,1.0,7,839.0000000000105,4.014409690501416,False
amihud_10|mom|h1|k12|hd5|sm5|-|-,amihud_10,mom,1,12,5,5,-,-,DIR,850,170,16.824421248198416,1.2678483216368932,15.556572926561524,15.556572926561524,2.9174460231075585,2.9174460231075585,-3.361893148933209,1.0,12,839.0000000000105,4.014409690501416,False
lsr_smart_dumb|allf|h1|k8|hd5|sm5|-|-,lsr_smart_dumb,allf,1,8,5,5,-,-,DIR,763,152,17.4669871432993,1.7031601447882914,15.763826998511012,15.763826998511012,2.901066014025927,2.901066014025927,-3.536948959480515,1.0,12,839.0000000000105,4.014409690501416,False
lsr_globacct_x|mkt|h1|k12|hd5|sm5|-|-,lsr_globacct_x,mkt,1,12,5,5,-,-,DIR,850,170,18.496258570425738,1.7935464617957528,16.70271210862998,16.70271210862998,2.892051490301985,2.892051490301985,-3.515811346330999,1.0,12,839.0000000000105,4.014409690501416,False
lsr_ttacct_x|mkt|h1|k8|hd1|sm0|-|-,lsr_ttacct_x,mkt,1,8,1,0,-,-,DIR,597,597,36.99067327060657,7.380495475605175,29.610177795001395,29.610177795001395,2.872669643606801,2.872669643606801,-4.32049248486555,1.0,3,839.0000000000105,4.014409690501416,False
lsr_globacct_x|allf|h1|k8|hd5|sm0|-|-,lsr_globacct_x,allf,1,8,5,0,-,-,DIR,854,170,18.802558200925105,3.4412211577793794,15.361337043145728,15.361337043145728,2.8660482491408823,2.8660482491408823,-4.144246584934718,1.0,7,839.0000000000105,4.014409690501416,False
lsr_globacct_x|mkt|h1|k8|hd1|sm5|-|-,lsr_globacct_x,mkt,1,8,1,5,-,-,DIR,850,850,24.992924790497568,3.522956432315217,21.469968358182353,21.469968358182353,2.8420288443984405,2.8420288443984405,-3.7727130480475735,1.0,8,839.0000000000105,4.014409690501416,False
lsr_globacct_x|full|h3|k12|hd1|sm0|-|-,lsr_globacct_x,full,3,12,1,0,-,-,DIR,854,284,23.576120513731517,3.740753108500069,19.835367405231445,59.506102215694334,2.8301855356116006,2.8301855356116006,-3.902971150818199,1.0,5,839.0000000000105,4.014409690501416,False
lsr_globacct_x|allf|h1|k12|hd5|sm5|-|-,lsr_globacct_x,allf,1,12,5,5,-,-,DIR,850,170,16.205142160306334,2.209504183151613,13.99563797715472,13.99563797715472,2.829992474288719,2.829992474288719,-3.7141710117922284,1.0,12,839.0000000000105,4.014409690501416,False
lsr_globacct_x|allf|h1|k12|hd1|sm5|-|-,lsr_globacct_x,allf,1,12,1,5,-,-,DIR,850,850,19.163917075411806,4.059393555109092,15.104523520302717,15.104523520302717,2.807673336944738,2.807673336944738,-4.309650213306692,1.0,8,839.0000000000105,4.014409690501416,False
amihud_10|mom|h1|k8|hd5|sm5|-|-,amihud_10,mom,1,8,5,5,-,-,DIR,850,170,17.489928578752227,1.3452367840547315,16.144691794697493,16.144691794697493,2.8013587218113525,2.8013587218113525,-3.240750526544208,0.75,12,839.0000000000105,4.014409690501416,False
lsr_globacct_x|raw|h3|k8|hd1|sm0|-|-,lsr_globacct_x,raw,3,8,1,0,-,-,DIR,854,284,28.694624013147312,3.612325536844106,25.082298476303208,75.24689542890962,2.7919706927908368,2.7919706927908368,-3.606910600393169,1.0,5,839.0000000000105,4.014409690501416,False
amihud_10|mom|h3|k12|hd1|sm5|-|-,amihud_10,mom,3,12,1,5,-,-,DIR,850,283,17.018083595573692,1.5940725319040459,15.424011063669647,46.272033191008944,2.7723638361755274,2.7723638361755274,-3.3065762781647114,0.75,10,839.0000000000105,4.014409690501416,False
lsr_smart_dumb|allf|h1|k8|hd5|sm0|-|-,lsr_smart_dumb,allf,1,8,5,0,-,-,DIR,597,119,19.251074508961317,3.2314572738075142,16.019617235153806,16.019617235153806,2.7541481104664722,2.7541481104664722,-3.8791622178858525,1.0,7,839.0000000000105,4.014409690501416,False
lsr_globacct_x|allf|h3|k12|hd1|sm5|-|-,lsr_globacct_x,allf,3,12,1,5,-,-,DIR,850,283,16.97104855282626,2.7789648594209413,14.192083693405317,42.576251080215954,2.7535305341691263,2.7535305341691263,-3.822367252656225,1.0,10,839.0000000000105,4.014409690501416,False
lsr_takerls_x|mom|h3|k8|hd1|sm5|-|-,lsr_takerls_x,mom,3,8,1,5,-,-,INV,780,260,-22.424200141655803,3.4314098474775516,18.992790294178253,56.97837088253476,2.7172290764696254,-3.6829035102835124,2.7172290764696254,1.0,10,839.0000000000105,4.014409690501416,False
lsr_smart_dumb|mom|h1|k8|hd5|sm0|-|-,lsr_smart_dumb,mom,1,8,5,0,-,-,DIR,597,119,17.802361786033977,3.3028264494091197,14.499535336624856,14.499535336624856,2.7044444124258304,2.7044444124258304,-3.9467294393208494,0.75,7,839.0000000000105,4.014409690501416,False
