venue,period,side,horizon_ms,n_depletion_events,low_intensity_bps,high_intensity_bps,high_minus_low_bps,unconditional_mean_adverse_bps,n_low,n_high
bybit,A_early,ask,250,791,0.044530017718911824,-0.0991949488254117,-0.14372496654432354,-0.002166968882720469,534,257
bybit,A_early,ask,1000,791,0.05487996567969245,-0.12223682575892185,-0.1771167914386143,-0.0026661979103503736,534,257
bybit,A_early,ask,5000,791,0.11135495283278629,-0.11820056163536899,-0.22955551446815528,0.03677117632416947,534,257
bybit,B_late,ask,250,790,-0.01998415274791145,-0.07260307170082253,-0.052618918952911084,-0.03736837787032891,529,261
bybit,B_late,ask,1000,790,-0.038840197292440704,-0.07064560357109805,-0.03180540627865734,-0.049348059366781924,529,261
bybit,B_late,ask,5000,790,0.08636071481902532,0.005884626552582548,-0.08047608826644277,0.05977304515125119,529,261
