symbol,venue,start_ts,end_ts,required_data_types,reason,priority,can_backfill_free,needs_paid_provider,free_sources_available,event_id,launch_ts
SPORTFUNUSDT,binance-futures,2026-01-16T13:15:00+00:00,2026-01-16T19:45:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,1e56bc144c18fcd108d7e157,2026-01-16T13:45:00+00:00
AIAUSDT,binance-futures,2026-01-20T10:45:00+00:00,2026-01-20T17:15:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,3e941568d54f2776e7028bbd,2026-01-20T11:15:00+00:00
ACUUSDT,binance-futures,2026-01-21T12:15:00+00:00,2026-01-21T18:45:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,5abc76df6e2d2a1b0c63b0a0,2026-01-21T12:45:00+00:00
ELSAUSDT,binance-futures,2026-01-22T06:55:00+00:00,2026-01-22T13:25:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,5ee5dcd51b181f0ba234947b,2026-01-22T07:25:00+00:00
SKRUSDT,binance-futures,2026-01-22T10:15:00+00:00,2026-01-22T16:45:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,ee0ff8e2e0adb92d34d183f6,2026-01-22T10:45:00+00:00
SPACEUSDT,binance-futures,2026-01-23T11:15:00+00:00,2026-01-23T17:45:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,2df79d1ad5aba75fcb77f422,2026-01-23T11:45:00+00:00
BIRBUSDT,binance-futures,2026-01-29T04:45:00+00:00,2026-01-29T11:15:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,aeb53715c4b9a92a0aaee948,2026-01-29T05:15:00+00:00
XPTUSDT,binance-futures,2026-01-30T09:30:00+00:00,2026-01-30T16:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,c5dff8660134fc9e4ef8fb2d,2026-01-30T10:00:00+00:00
MEGAUSDT,binance-futures,2026-01-30T11:45:00+00:00,2026-01-30T18:15:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;markPriceKlines;metrics;premiumIndexKlines,62ac4b9ad3859d53823e2e50,2026-01-30T12:15:00+00:00
INXUSDT,binance-futures,2026-01-30T18:34:00+00:00,2026-01-31T01:04:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,8ff1068f61ea68e265c0dc5d,2026-01-30T19:04:00+00:00
