symbol,venue,start_ts,end_ts,required_data_types,reason,priority,can_backfill_free,needs_paid_provider,free_sources_available,event_id,launch_ts
LUNA2USDT,binance-futures,2022-09-10T02:30:00+00:00,2022-09-10T09:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",missing_l2,P0,False,True,aggTrades;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,e3fdaf3c4fc6fe49ad83a2b2,2022-09-10T03:00:00+00:00
BLURUSDT,binance-futures,2023-04-28T11:30:00+00:00,2023-04-28T18:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,27b63ec2126b71570873365d,2023-04-28T12:00:00+00:00
1000PEPEUSDT,binance-futures,2023-05-05T16:00:00+00:00,2023-05-05T22:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,771eb47c3fcc81c52c724335,2023-05-05T16:30:00+00:00
ARKUSDT,binance-futures,2023-09-19T15:33:00+00:00,2023-09-19T22:03:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,8f9346145d6137459b8f23c9,2023-09-19T16:03:00+00:00
BIGTIMEUSDT,binance-futures,2023-10-12T14:00:00+00:00,2023-10-12T20:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,6c20de43f56e37f8ca8be6d0,2023-10-12T14:30:00+00:00
ORBSUSDT,binance-futures,2023-10-17T05:30:00+00:00,2023-10-17T12:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,525708299058a330fb701cef,2023-10-17T06:00:00+00:00
BSVUSDT,binance-futures,2023-10-20T12:00:00+00:00,2023-10-20T18:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,b6b050a77e7ba560ac45accb,2023-10-20T12:30:00+00:00
TOKENUSDT,binance-futures,2023-11-03T14:30:00+00:00,2023-11-03T21:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,0203a2e2313bf3decb1ca01a,2023-11-03T15:00:00+00:00
KASUSDT,binance-futures,2023-11-17T01:30:00+00:00,2023-11-17T08:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,3c3028d3750531b66a53cf7c,2023-11-17T02:00:00+00:00
ETHWUSDT,binance-futures,2023-11-28T12:00:00+00:00,2023-11-28T18:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,b4883000a6fb5da32096f7b6,2023-11-28T12:30:00+00:00
1000SATSUSDT,binance-futures,2023-12-12T13:30:00+00:00,2023-12-12T20:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,bd02f81f806b61964ad28fa1,2023-12-12T14:00:00+00:00
1000RATSUSDT,binance-futures,2023-12-15T13:30:00+00:00,2023-12-15T20:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,8c5cf6e313e24b24e0ae548e,2023-12-15T14:00:00+00:00
WIFUSDT,binance-futures,2024-01-18T13:45:00+00:00,2024-01-18T20:15:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,7f4b196e58663442894e9aef,2024-01-18T14:15:00+00:00
ONDOUSDT,binance-futures,2024-01-20T12:30:00+00:00,2024-01-20T19:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,7ae90f464d9d3ad74c14c360,2024-01-20T13:00:00+00:00
ZETAUSDT,binance-futures,2024-02-02T08:00:00+00:00,2024-02-02T14:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,d588cda01954d01fe6318c95,2024-02-02T08:30:00+00:00
TONUSDT,binance-futures,2024-03-01T12:01:00+00:00,2024-03-01T18:31:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,3996d75d68d7fe9f1b79b94a,2024-03-01T12:31:00+00:00
MYROUSDT,binance-futures,2024-03-05T08:00:00+00:00,2024-03-05T14:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,16d2301813546604bccc72c1,2024-03-05T08:30:00+00:00
BOMEUSDT,binance-futures,2024-03-16T12:00:00+00:00,2024-03-16T18:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,f43f9a7538849c554a17a309,2024-03-16T12:30:00+00:00
MEWUSDT,binance-futures,2024-06-17T13:30:00+00:00,2024-06-17T20:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,37579a9fb49ede269bf8f628,2024-06-17T14:00:00+00:00
BRETTUSDT,binance-futures,2024-08-20T10:05:00+00:00,2024-08-20T16:35:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,4504cb146c6018bec3d3d9ec,2024-08-20T10:35:00+00:00
NEIROETHUSDT,binance-futures,2024-09-06T13:30:00+00:00,2024-09-06T20:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,9101807195e525fff9bdf472,2024-09-06T14:00:00+00:00
UXLINKUSDT,binance-futures,2024-09-15T14:30:00+00:00,2024-09-15T21:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,e0a50e3cea619eac2465defc,2024-09-15T15:00:00+00:00
1000CATUSDT,binance-futures,2024-10-21T12:00:00+00:00,2024-10-21T18:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,ad82dcce37e5348b048e282d,2024-10-21T12:30:00+00:00
GOATUSDT,binance-futures,2024-10-24T13:00:00+00:00,2024-10-24T19:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,700d4e731095fcaedaac26c5,2024-10-24T13:30:00+00:00
MOODENGUSDT,binance-futures,2024-10-25T09:30:00+00:00,2024-10-25T16:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,c2b91bfbec0ed43aabcdb74f,2024-10-25T10:00:00+00:00
SAFEUSDT,binance-futures,2024-10-25T12:00:00+00:00,2024-10-25T18:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,a95a9d746860bc6de0bd1040,2024-10-25T12:30:00+00:00
PONKEUSDT,binance-futures,2024-11-04T12:00:00+00:00,2024-11-04T18:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,2bf17446b8052a2980d08b2c,2024-11-04T12:30:00+00:00
1000000MOGUSDT,binance-futures,2024-11-07T12:00:00+00:00,2024-11-07T18:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,125e6fdf0008d975a343c942,2024-11-07T12:30:00+00:00
SWELLUSDT,binance-futures,2024-11-08T15:30:00+00:00,2024-11-08T22:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,aab29a722c1f1f70858d4380,2024-11-08T16:00:00+00:00
HIPPOUSDT,binance-futures,2024-11-13T12:00:00+00:00,2024-11-13T18:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,de0cd69adb47be97865353eb,2024-11-13T12:30:00+00:00
DEGENUSDT,binance-futures,2024-11-15T11:00:00+00:00,2024-11-15T17:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,a145fa44534b876ab3762b4b,2024-11-15T11:30:00+00:00
BANUSDT,binance-futures,2024-11-18T11:00:00+00:00,2024-11-18T17:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,551e7c68db4a708957037745,2024-11-18T11:30:00+00:00
SLERFUSDT,binance-futures,2024-11-21T11:00:00+00:00,2024-11-21T17:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,e4c2c21b562ca8d7a3bc69f4,2024-11-21T11:30:00+00:00
1000WHYUSDT,binance-futures,2024-11-25T11:01:00+00:00,2024-11-25T17:31:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,5b96299e3ac21d97d9913488,2024-11-25T11:31:00+00:00
MORPHOUSDT,binance-futures,2024-11-27T14:00:00+00:00,2024-11-27T20:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,4d8c383224e3a76f6fc58997,2024-11-27T14:30:00+00:00
SPXUSDT,binance-futures,2024-12-10T12:15:00+00:00,2024-12-10T18:45:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,a7150d1cd6602cc674f27ab1,2024-12-10T12:45:00+00:00
MOCAUSDT,binance-futures,2024-12-16T11:00:00+00:00,2024-12-16T17:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,99b90c668ff8d07f9a62c71c,2024-12-16T11:30:00+00:00
KMNOUSDT,binance-futures,2024-12-20T18:30:00+00:00,2024-12-21T01:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,ada0dad89ba8db72db34e5e1,2024-12-20T19:00:00+00:00
AI16ZUSDT,binance-futures,2025-01-02T13:15:00+00:00,2025-01-02T19:45:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,bf08b1b7b1db53a4adabf00b,2025-01-02T13:45:00+00:00
SWARMSUSDT,binance-futures,2025-01-07T11:45:00+00:00,2025-01-07T18:15:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,f736f1ca447ec854a82c39e1,2025-01-07T12:15:00+00:00
SONICUSDT,binance-futures,2025-01-08T06:31:00+00:00,2025-01-08T13:01:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,98bb20f584caad1487773629,2025-01-08T07:01:00+00:00
ARCUSDT,binance-futures,2025-01-17T12:30:00+00:00,2025-01-17T19:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,e392222f24c675106459b5d8,2025-01-17T13:00:00+00:00
TRUMPUSDT,binance-futures,2025-01-18T12:30:00+00:00,2025-01-18T19:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,3fb6ffd8390e7119ddfa4168,2025-01-18T13:00:00+00:00
MELANIAUSDT,binance-futures,2025-01-20T09:00:00+00:00,2025-01-20T15:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,0e44ae278bb97bca471915f5,2025-01-20T09:30:00+00:00
VINEUSDT,binance-futures,2025-01-24T09:30:00+00:00,2025-01-24T16:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,86c2b231d2e88deccfa3bbeb,2025-01-24T10:00:00+00:00
VVVUSDT,binance-futures,2025-01-29T07:45:00+00:00,2025-01-29T14:15:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,4c12d6c81d3645194cab5045,2025-01-29T08:15:00+00:00
B3USDT,binance-futures,2025-02-13T11:00:00+00:00,2025-02-13T17:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,07816b67a3eae3aa4efe314e,2025-02-13T11:30:00+00:00
IPUSDT,binance-futures,2025-02-13T16:30:00+00:00,2025-02-13T23:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,b314ec3e632f7dbb1c28286c,2025-02-13T17:00:00+00:00
GPSUSDT,binance-futures,2025-02-17T16:30:00+00:00,2025-02-17T23:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,9e036098bc3802c199459a35,2025-02-17T17:00:00+00:00
BMTUSDT,binance-futures,2025-03-17T13:00:00+00:00,2025-03-17T19:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,a877b9f75fd6bd4c38ca74e9,2025-03-17T13:30:00+00:00
BRUSDT,binance-futures,2025-03-21T12:15:00+00:00,2025-03-21T18:45:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,5f11d51c9603a090e9575f24,2025-03-21T12:45:00+00:00
JELLYJELLYUSDT,binance-futures,2025-03-26T15:30:00+00:00,2025-03-26T22:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,2a65ffaad5c0eaf54699e7ff,2025-03-26T16:00:00+00:00
WALUSDT,binance-futures,2025-03-27T15:00:00+00:00,2025-03-27T21:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,b9f87ac1de1e70c5257f0432,2025-03-27T15:30:00+00:00
ATHUSDT,binance-futures,2025-04-02T15:15:00+00:00,2025-04-02T21:45:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,43408296c17706df4a86d951,2025-04-02T15:45:00+00:00
BABYUSDT,binance-futures,2025-04-05T13:00:00+00:00,2025-04-05T19:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;markPriceKlines;metrics;premiumIndexKlines,21b9a77d7a9b2edd78dfed6d,2025-04-05T13:30:00+00:00
PROMPTUSDT,binance-futures,2025-04-11T06:00:00+00:00,2025-04-11T12:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,15c018b7135b044e02a49b73,2025-04-11T06:30:00+00:00
XCNUSDT,binance-futures,2025-04-11T15:00:00+00:00,2025-04-11T21:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,4e5a0baaefd2c0a105b0deaf,2025-04-11T15:30:00+00:00
INITUSDT,binance-futures,2025-04-16T06:00:00+00:00,2025-04-16T12:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;markPriceKlines;metrics;premiumIndexKlines,c1986e1b2f5a7b124976006e,2025-04-16T06:30:00+00:00
BANKUSDT,binance-futures,2025-04-18T18:00:00+00:00,2025-04-19T00:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",missing_l2,P0,False,True,aggTrades;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,50ffc09f83fd6ca0dca09d81,2025-04-18T18:30:00+00:00
DEEPUSDT,binance-futures,2025-04-22T08:00:00+00:00,2025-04-22T14:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",missing_l2,P0,False,True,aggTrades;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,42c04e023e48f228ac3ef798,2025-04-22T08:30:00+00:00
MEMEFIUSDT,binance-futures,2025-04-25T06:45:00+00:00,2025-04-25T13:15:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",missing_l2,P0,False,True,aggTrades;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,c7564458f482113c1dd5003a,2025-04-25T07:15:00+00:00
DOLOUSDT,binance-futures,2025-05-01T02:30:00+00:00,2025-05-01T09:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",missing_l2,P0,False,True,aggTrades;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,c72a30dd9ceee1d5a3a54cd4,2025-05-01T03:00:00+00:00
SXTUSDT,binance-futures,2025-05-02T08:00:00+00:00,2025-05-02T14:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",missing_l2,P0,False,True,aggTrades;fundingRate;markPriceKlines;metrics;premiumIndexKlines,7a8d8a45af279b70fdcddf83,2025-05-02T08:30:00+00:00
B2USDT,binance-futures,2025-05-06T13:00:00+00:00,2025-05-06T19:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",missing_l2,P0,False,True,aggTrades;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,8edc2be39041ef3ca1dac762,2025-05-06T13:30:00+00:00
ZKJUSDT,binance-futures,2025-05-13T09:00:00+00:00,2025-05-13T15:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",missing_l2,P0,False,True,aggTrades;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,e76d044fd3d672f736245075,2025-05-13T09:30:00+00:00
AGTUSDT,binance-futures,2025-05-20T10:00:00+00:00,2025-05-20T16:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,6928291d20158e0e89802202,2025-05-20T10:30:00+00:00
BUSDT,binance-futures,2025-05-22T16:00:00+00:00,2025-05-22T22:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,a5e6b9745184ea43b217f98e,2025-05-22T16:30:00+00:00
SOONUSDT,binance-futures,2025-05-23T08:00:00+00:00,2025-05-23T14:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,13940e90ab91469eb9b664f4,2025-05-23T08:30:00+00:00
MERLUSDT,binance-futures,2025-05-29T08:00:00+00:00,2025-05-29T14:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,7325b4ba98bea4bbe1ca4641,2025-05-29T08:30:00+00:00
