candidate_id,family,economic_risk_factor,mechanism,datasets_combined,condition,N_raw,N_independent,gross_bps,net_bps,pf,decl_net_bps,decl_t,years
W8-7a,spillover_x_sentiment_regime,panic_contagion,"BTC-shock alt spillover during extreme fear (panic contagion, correlations spike) as regime",events/spillover_dataset + news_backfill/fear_greed,fear_greed <= 25,2408,1576,-12.6,-26.6,0.88,-23.9,-1.83,"2021:7.0, 2022:-26.6, 2024:-2.8, 2025:-37.5, 2026:-25.3"
W8-7b,spillover_x_sentiment_regime,panic_contagion,BTC-shock alt spillover during extreme greed as regime,events/spillover_dataset + news_backfill/fear_greed,fear_greed >= 75,1598,874,-13.1,-27.1,0.9,-20.3,-0.71,"2024:-27.8, 2025:-17.9"
W8-7c,spillover_x_sentiment_regime,panic_contagion,"marginal (reference, same subsample)",events/spillover_dataset + news_backfill/fear_greed,marginal (unconditional),7853,5162,8.9,-5.1,1.09,-5.5,2.61,"2021:8.0, 2022:-26.2, 2023:44.4, 2024:-13.0, 2025:-12.2, 2026:-28.0"
W8-8a,spillover_x_stablecoin_flow,fresh_capital_absorption,BTC-shock alt spillover during stablecoin-supply expansion (fresh capital to absorb/extend the move) as regime,events/spillover_dataset + stablecoins/supply_daily,supply expanding (top quartile 7d chg),1969,1353,3.2,-10.8,1.03,-7.1,0.94,"2021:10.2, 2022:4.3, 2024:-19.1, 2025:21.3, 2026:-110.0"
W8-8b,spillover_x_stablecoin_flow,fresh_capital_absorption,BTC-shock alt spillover during stablecoin-supply contraction as regime,events/spillover_dataset + stablecoins/supply_daily,supply contracting (bottom quartile 7d chg),1967,1205,-5.1,-19.1,0.96,-15.7,-0.25,"2022:-55.3, 2023:20.2, 2024:-14.3, 2025:-21.4, 2026:-9.8"
