candidate_id,family,economic_risk_factor,mechanism,datasets_combined,condition,N_raw,N_independent,gross_bps,net_bps,pf,decl_net_bps,decl_t,years
W8-17a,spillover_x_dvol_stress_regime,correlated_stress_contagion,BTC-shock alt spillover during high options-implied crypto-wide stress (DVOL) as regime,events/spillover_dataset + options_backfill/deribit/DVOL_BTC,DVOL pctile >= 0.75,3295,2060,-3.5,-17.5,0.97,-24.5,-1.84,"2022:3.6, 2023:35.6, 2024:-33.7, 2025:-59.0, 2026:-37.3"
W8-17b,spillover_x_dvol_stress_regime,correlated_stress_contagion,BTC-shock alt spillover during low DVOL (calm) as regime,events/spillover_dataset + options_backfill/deribit/DVOL_BTC,DVOL pctile <= 0.25,1533,1219,23.0,9.0,1.32,7.8,3.36,"2021:45.0, 2022:6.5, 2023:50.8, 2024:14.9, 2025:-45.4, 2026:-43.3"
W8-17c,spillover_x_dvol_stress_regime,correlated_stress_contagion,"marginal (reference, same subsample)",events/spillover_dataset + options_backfill/deribit/DVOL_BTC,marginal (unconditional),7853,5162,8.9,-5.1,1.09,-5.5,2.61,"2021:8.0, 2022:-26.2, 2023:44.4, 2024:-13.0, 2025:-12.2, 2026:-28.0"
