spread_q_sym,rvol_q_sym,n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300
3,3,102335,85355,0.8340743636097132,1.836396447940587,-5.21889567102103,-5.2820063265186565,-5.382499223080442,-5.44560987857807,-4.489404614120596,-4.542043593941771
2,3,102958,87147,0.8464325258843411,1.2584607946929816,-4.364173981892664,-4.438794336006977,-5.105713187199683,-5.1803335413139955,-4.321641709482417,-4.384802804297779
0,3,513106,468538,0.9131407545419465,0.9027379177012157,-3.5937221954249163,-3.793244710140908,-4.6909842777237,-4.890506792439693,-4.2835289229050275,-4.465721062540895
1,3,184344,161703,0.8771807056372868,1.0616672742264461,-3.880090165303056,-3.869714723907411,-4.81842289107661,-4.808047449680965,-4.226627591653436,-4.217526454648706
2,2,208286,166544,0.7995928674994959,1.2403172152713093,-4.05414749255452,-4.133901131232588,-4.813830277283211,-4.893583915961279,-3.849104355068776,-3.912874795712891
3,2,172234,132111,0.7670436731423529,1.6015180394114983,-4.540986821687823,-4.793584864242948,-4.939468782276324,-5.19206682483145,-3.788788278129217,-3.9825420085192684
0,2,238308,207534,0.8708645953975528,0.8848751028081306,-3.2243817398594934,-3.41130282267002,-4.339506637051363,-4.526427719861889,-3.77912269170073,-3.9419056448537915
1,2,283910,237405,0.8361980909443133,0.9811709309288152,-3.4404589204102694,-3.5737265853709914,-4.459287989481454,-4.592555654442176,-3.728848103775297,-3.840286270800059
2,1,253320,192199,0.7587201957997789,1.2297841781146377,-3.837039682828735,-3.8566491500996363,-4.6072555047140975,-4.626864971984999,-3.4956177986362893,-3.5104958974835965
3,1,221819,162094,0.7307489439588133,1.5011147174047312,-4.202390279714239,-4.28333510185448,-4.701275562309507,-4.782220384449748,-3.4354521524170485,-3.4946024957149637
0,1,132104,109216,0.8267425664627869,0.9230464558226851,-3.0634473886610016,-3.242797758570172,-4.1404009328383165,-4.319751302747487,-3.4230456933996667,-3.5713222785144243
1,1,295506,237774,0.8046334084587115,0.9323476528395361,-3.165787260171423,-3.1769775080538674,-4.233439607331887,-4.244629855214331,-3.406366940751565,-3.415370988046714
0,0,82020,61186,0.745988783223604,1.0582731528895393,-3.356527310168993,-3.2485709149151765,-4.2982541572794535,-4.190297762025637,-3.2064493887746965,-3.125915128838096
2,0,283413,195928,0.6913162063843226,1.2753770998507477,-3.8833835388510067,-3.8077997529704786,-4.608006439000259,-4.532422653119731,-3.18558953040419,-3.133337234285099
3,0,264250,181023,0.6850444654683066,1.3626226244087036,-3.986652524817288,-3.9982776221806073,-4.624029900408584,-4.635654997771904,-3.1676660914348655,-3.175629800044138
1,0,273088,205538,0.7526438364190298,0.8736062240010546,-2.903004845819265,-2.9558066634880165,-4.02939862181821,-4.082200439486962,-3.0327020371868088,-3.0724429998069165
