state,n,p_fill,half_spread,adv60,gross_per_fill_bps,breakeven_fee_bps,pnl_fill_at_2bps_fee,e_pnl_at_2bps_fee
ALL_UNCONDITIONAL,3611301,0.8006834655986859,1.1323395531139615,-3.6966696351282335,-2.564330082014272,-2.564330082014272,-4.564330082014272,-3.6545836282035213
BTCUSDT_all,240840,0.8964416209931905,0.008035056469025081,-1.1819738396194515,-1.1739387831504264,-1.1739387831504264,-3.1739387831504264,-2.845250827700523
ETHUSDT_all,240862,0.9269166576711976,0.02556741204507145,-1.1555043245737016,-1.12993691252863,-1.12993691252863,-3.1299369125286303,-2.9011906616827456
TIGHT_BTC_ETH_BNB,722533,0.9047019305692612,0.038682773658780985,-1.2293286745594536,-1.1906459009006727,-1.1906459009006727,-3.1906459009006727,-2.8865835063077383
BTC_lowest_rvol_decile0,24084,0.7288656369373858,0.007825029064939383,-1.0502643272188674,-1.042439298153928,-1.042439298153928,-3.042439298153928,-2.217529456892296
