n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300,symbol,half
114052,72337,0.634245782625469,2.9484976764984396,-8.357898724027814,-8.28707286727401,-7.409401047529375,-7.33857519077557,-4.6993813661762385,-4.654460365229302,ADAUSDT,H1_first
114089,62620,0.5488697420434924,2.7451014602634785,-8.056244011497924,-8.075523315234749,-7.311142551234445,-7.33042185497127,-4.01286492613925,-4.02344675260806,ARUSDT,H1_first
114205,95555,0.8366971673744582,0.7674725712534476,-3.0316419862906177,-3.1568597143006643,-4.26416941503717,-4.389387143047217,-3.5678184707664005,-3.6725877890974723,AVAXUSDT,H1_first
114253,101485,0.8882480109931468,0.08676374799786438,-1.3942369808346062,-1.3766508350987832,-3.3074732328367418,-3.2898870871009187,-2.9378565204803087,-2.9222356615094283,BNBUSDT,H1_first
114265,103773,0.9081783573272656,0.008203977595939268,-1.1825481579987085,-1.142942287492893,-3.1743441804027692,-3.134738309896954,-2.882870683349552,-2.8469014889330646,BTCUSDT,H1_first
114195,93307,0.8170848110687858,0.7008958492053067,-2.686626726826498,-2.8017514227228393,-3.9857308776211915,-4.100855573517533,-3.256680161112137,-3.350746801507951,DOGEUSDT,H1_first
114276,107004,0.9363645909902342,0.02697478910707411,-1.1573345856229675,-1.139636275279429,-3.1303597965158936,-3.112661486172355,-2.931158070516877,-2.9145859993908316,ETHUSDT,H1_first
114069,60368,0.5292235401379867,3.3370610726840777,-9.686462364166445,-10.03747647760403,-8.349401291482367,-8.700415404919953,-4.418699709510976,-4.604464641262813,FETUSDT,H1_first
114206,96331,0.8434845804948952,0.6016835148766264,-2.6418546469983704,-2.794497306163125,-4.040171132121744,-4.192813791286499,-3.4078220525052947,-3.5365737818365033,LINKUSDT,H1_first
114219,95551,0.8365595916616325,1.471546498393437,-5.254892047178993,-5.2337577838013205,-5.783345548785556,-5.762211285407884,-4.838113190730165,-4.82043311998887,ORDIUSDT,H1_first
114210,92841,0.8128972944575782,1.2888114613431398,-5.1271045120151655,-5.200440430413287,-5.838293050672026,-5.911628969070147,-4.74593262514177,-4.805547194794165,PYTHUSDT,H1_first
114197,94033,0.8234279359352698,0.6670880408417035,-2.6229852285899633,-2.619035125966416,-3.95589718774826,-3.9519470851247127,-3.257396256079688,-3.254143631229648,SOLUSDT,H1_first
114204,95856,0.839340128191657,0.6967907954187242,-2.75620660156902,-2.738963653814055,-4.059415806150296,-4.042172858395331,-3.4072305831174283,-3.3927578851383737,SUIUSDT,H1_first
114190,92278,0.8081092915316578,1.4244865355985636,-4.944501831422442,-4.8586074687357765,-5.520015295823878,-5.434120933137213,-4.460775649952149,-4.391363617374864,TIAUSDT,H1_first
114197,96038,0.8409853148506529,0.45990276452095935,-2.082523792665403,-2.1050059351506696,-3.6226210281444438,-3.64510317062971,-3.046571085938651,-3.0654782376151397,XRPUSDT,H1_first
126556,83743,0.6617070703878125,2.559897642150511,-7.073137098026104,-7.578351384593339,-6.513239455875593,-7.018453742442828,-4.309856599081749,-4.644160464564223,ADAUSDT,H2_second
126532,78363,0.6193136913982233,2.699215913760946,-8.232941694422113,-8.499793142171688,-7.533725780661166,-7.8005772284107415,-4.665739523203229,-4.831004278363978,ARUSDT,H2_second
126562,106591,0.8422038210521325,0.7323313435312335,-2.9144454972746296,-3.0366741094463885,-4.182114153743396,-4.304342765915155,-3.5221925203588937,-3.625133924571849,AVAXUSDT,H2_second
126578,113034,0.8929987833588775,0.0785537850179336,-1.3175330431551566,-1.376569262345843,-3.238979258137223,-3.298015477327909,-2.89240453684118,-2.9451238087525704,BNBUSDT,H2_second
126575,112126,0.8858463361643294,0.007882563697412604,-1.1814423059772043,-1.1761053636087975,-3.1735597422797914,-3.168222799911385,-2.811286270297167,-2.8065585594537934,BTCUSDT,H2_second
126564,102778,0.8120634619639076,0.6503142797319933,-2.7734203817937693,-2.921357391659694,-4.123106102061776,-4.271043111927701,-3.348223815284798,-3.4683580556691096,DOGEUSDT,H2_second
