n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300,session,half
574320,454880,0.7920323164786182,1.1492429168407856,-3.713716364755539,-3.884658921034119,-4.564473447914754,-4.7354160041933335,-3.6152104784570676,-3.750602507291168,ASIA_00_08,H1_first
564907,451335,0.7989545181773283,1.148627824579975,-3.662250124630265,-3.6501679905170223,-4.51362230005029,-4.5015401659370475,-3.606178929971124,-3.5965258543321244,EU_08_16,H1_first
573600,453162,0.7900313807531381,1.1467400043584384,-3.706769234843169,-3.644075054836902,-4.56002923048473,-4.497335050478464,-3.602566189234521,-3.5530358196389846,US_16_24,H1_first
640384,515146,0.8044329652208675,1.119906334324405,-3.808068178729912,-3.9662234783925343,-4.688161844405507,-4.846317144068129,-3.7713119339304533,-3.898537270603451,ASIA_00_08,H2_second
626261,508369,0.8117526079382238,1.1200518170539124,-3.639757990750811,-3.866769649604912,-4.519706173696899,-4.746717832551,-3.6688832736129484,-3.8531605797201474,EU_08_16,H2_second
631829,508617,0.804991540432617,1.1141193811933294,-3.6470239492584797,-3.668040490192032,-4.532904568065151,-4.553921108998702,-3.648949830880812,-3.665867968541477,US_16_24,H2_second
