n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300,rule
113436,98571,0.8689569448852216,0.02717249814873586,-1.113065404632194,-1.0401624209960332,-3.0858929064834584,-3.0129899228472974,-2.6815080722608426,-2.618158518327347,frozen_rule_full
3611301,2891509,0.8006834655986859,1.1323395531139615,-3.6966696351282335,-3.783635565374345,-4.564330082014272,-4.651296012260383,-3.6545836282035213,-3.7242158106219914,baseline_all
722413,653571,0.904705480106255,0.03868245103562643,-1.2292829700216195,-1.2244510695854003,-3.1906005189859927,-3.1857686185497736,-2.886553774356489,-2.8821823275525134,tight_symbols_only
228500,198022,0.8666170678336981,0.027202126914660833,-1.154634182060579,-1.1217585924796238,-3.1274320551459183,-3.0945564655649633,-2.710285997479672,-2.6817954504337207,tight_lowvol_midspread_no_contra
