flow_5_updn_bin,n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300,flow_5_updn_range
2,330327,262050,0.7933048161367372,1.1858726413523568,-3.9524614386567447,-4.06713798893341,-4.766588797304388,-4.881265347581053,-3.7813578494449893,-3.872331309077414,"(0.2, 0.4]"
3,401566,346098,0.8618707759123033,0.7930849312441791,-3.105928696496368,-3.2744920513842906,-4.31284376525219,-4.481407120140112,-3.7171140023464444,-3.862393831814079,"(0.4, 1.0]"
0,1458457,1190259,0.8161083940081881,1.0573739428039362,-3.5372922279940737,-3.57252834887197,-4.479918285190138,-4.515154406068034,-3.6560989170144396,-3.684855411035178,"(-1.001, -0.2]"
1,1420861,1093044,0.7692828503280758,1.2927227353696111,-3.9960989219098244,-4.1067503138025545,-4.703376186540213,-4.814027578432944,-3.6182266389468505,-3.703348857094859,"(-0.2, 0.2]"
