session,n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300
ASIA_00_08,1214704,970026,0.7985698573479629,1.133776862511361,-3.7638232274186456,-3.927974930568871,-4.630046364907285,-4.7941980680575105,-3.697415465138465,-3.8285020673065655
EU_08_16,1191168,959704,0.8056831614012465,1.1336038824918069,-3.6503357180964127,-3.764905001958937,-4.516731835604606,-4.63130111946713,-3.639054784511574,-3.7313613273334094
US_16_24,1205429,961779,0.7978727905169031,1.1296418129976964,-3.6751741720291253,-3.6567486813498715,-4.545532359031429,-4.527106868352175,-3.626756587685288,-3.612055390020388
