mom_dir,side,n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300
UPTREND,BUY,847830,692565,0.8168677683026079,1.0828434137739882,-3.6259077631702445,-3.603540461906103,-4.543064349396256,-4.5206970481321145,-3.711082836346459,-3.6928117088798675
DOWNTREND,SELL,873450,704336,0.8063838800160283,1.0995463558303278,-3.6982345783830444,-4.014432969491834,-4.598688222552717,-4.914886613661506,-3.7083080518860725,-3.9632853373632035
FLAT,BUY,84102,55671,0.6619462081757865,1.971441065610806,-5.4477913096585295,-5.610983636004382,-5.476350244047723,-5.6395425703935755,-3.6250492786899335,-3.733073820317956
FLAT,SELL,84109,54333,0.6459831884816132,1.971424716736615,-5.580652642040748,-5.663550328529624,-5.6092279253041335,-5.692125611793009,-3.623466940108068,-3.677017451943901
UPTREND,SELL,847872,681118,0.8033264455012077,1.082938734266493,-3.5847221186343625,-3.7669443620635468,-4.50178338436787,-4.684005627797054,-3.6164016445806375,-3.7627855916858604
DOWNTREND,BUY,873338,703035,0.8049976068830167,1.0995415543581069,-3.589688678373053,-3.457182956751798,-4.490147124014946,-4.357641402393691,-3.6145576893846916,-3.5078909005812737
