n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300,side,half
856360,682903,0.7974485029660423,1.1481736582745572,-3.7562966775662123,-3.772705040100866,-4.608123019291655,-4.6245313818263085,-3.6747408032174893,-3.687825627356873,BUY,H1_first
856467,676474,0.7898424574443615,1.1482300695765277,-3.631739948615911,-3.680063047508109,-4.483509879039383,-4.531832977931582,-3.5412664608365385,-3.5794340960168793,SELL,H1_first
949210,768565,0.8096891098913833,1.1180101905795345,-3.608514894641312,-3.4642002953556297,-4.490504704061777,-4.346190104776095,-3.63591275679485,-3.5190627973548945,BUY,H2_second
949264,763567,0.8043779180501947,1.118046560809217,-3.7895971800771906,-4.206696504694415,-4.671550619267974,-5.088649943885198,-3.75769216119287,-4.093197647548616,SELL,H2_second
