n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300,half
41032,36954,0.900614154806005,0.013916455449405344,-1.1079918276776533,-0.9327423283000487,-3.094075372228248,-2.9188258728506433,-2.786568076265419,-2.628735896503282,H1_first
72404,61617,0.8510165184243964,0.03468481713717475,-1.1161082168881966,-1.1045862343184512,-3.0814233997510216,-3.0699014171812764,-2.6223422134475816,-2.6125368159557305,H2_second
