sym_tier,side,n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300
WIDE_ALTS,BUY,1444305,1124777,0.778766950194038,1.4058675411357011,-4.393140586978574,-4.351001647437669,-4.987273045842873,-4.945134106301968,-3.8839234196959844,-3.851107006265303
WIDE_ALTS,SELL,1444463,1113055,0.7705666396439369,1.4058981510775983,-4.441888451154709,-4.713259901801796,-5.035990300077111,-5.307361750724198,-3.8805661228098804,-4.089675909630307
TIGHT_BTC_ETH_BNB,SELL,361268,326986,0.9051064583633203,0.03868223175039029,-1.2426307242511911,-1.3928550457817768,-3.2039484925008006,-3.3541728140313865,-2.8999144728258988,-3.0358834764464797
TIGHT_BTC_ETH_BNB,BUY,361265,326691,0.9042973994159412,0.03868331557167176,-1.2160146131971803,-1.0558849493864233,-3.177331297625509,-3.017201633814752,-2.8732524295256257,-2.728447590972209
