side,n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300
SELL,1805731,1440041,0.7974836783551924,1.132362745890722,-3.7154421297726947,-3.9593050475646194,-4.583079383881973,-4.826942301673897,-3.654931005252045,-3.8494077019471784
BUY,1805570,1451468,0.8038835381624639,1.1323163582691347,-3.6780449310628955,-3.6093490796903533,-4.545728572793761,-4.477032721421219,-3.6542363686236565,-3.5990129045652144
